"Time (s)","X (hPa)"
1.532795008E2,9.794930267E2
1.543398528E2,9.794941711E2
1.554001818E2,9.794945526E2
1.564605388E2,9.794985962E2
1.575208078E2,9.795011902E2
1.585811548E2,9.795036316E2
1.596415548E2,9.795033264E2
1.607019758E2,9.795046997E2
1.617623498E2,9.795044708E2
1.628227498E2,9.795076752E2
1.638831588E2,9.795076752E2
1.649435648E2,9.795136261E2
1.660039358E2,9.795180511E2
1.670643018E2,9.795208740E2
1.681246758E2,9.795234680E2
1.691849878E2,9.795264435E2
1.702453858E2,9.795265198E2
1.713057898E2,9.795291901E2
1.723661128E2,9.795298767E2
1.734264958E2,9.795299530E2
1.744869188E2,9.795327759E2
1.755472878E2,9.795413208E2
1.766077008E2,9.795440674E2
1.776681668E2,9.795494843E2
1.787286128E2,9.795494843E2
1.797890058E2,9.795494843E2
1.808493678E2,9.795475769E2
1.819098238E2,9.795465088E2
1.829702768E2,9.795459747E2
1.840307098E2,9.795459747E2
1.850911328E2,9.795503998E2
1.861515398E2,9.795513153E2
1.872119298E2,9.795538330E2
1.882723608E2,9.795538330E2
1.893328108E2,9.795527649E2
1.903932098E2,9.795515442E2
1.914535668E2,9.795509338E2
1.925138868E2,9.795509338E2
1.935741888E2,9.795539093E2
1.946344928E2,9.795574188E2
1.956947648E2,9.795584106E2
1.967550438E2,9.795592499E2
1.978153458E2,9.795592499E2
1.988757018E2,9.795568085E2
1.999360468E2,9.795524597E2
2.009964148E2,9.795488739E2
2.020567738E2,9.795421600E2
2.031171658E2,9.795388794E2
2.041776628E2,9.795369720E2
2.052381198E2,9.795368958E2
2.062984878E2,9.795369720E2
2.073589548E2,9.795404816E2
2.084193798E2,9.795434570E2
2.094797718E2,9.795443726E2
2.105402168E2,9.795453644E2
2.116007518E2,9.795488739E2
2.126612278E2,9.795531464E2
2.137216708E2,9.795531464E2
2.147820748E2,9.795478058E2
2.158424778E2,9.795434570E2
2.169027748E2,9.795377350E2
2.179630768E2,9.795368195E2
2.190233888E2,9.795291901E2
2.200837468E2,9.795259857E2
2.211441308E2,9.795227814E2
2.222045628E2,9.795208740E2
2.232649808E2,9.795208740E2
2.243253768E2,9.795286560E2
2.253858318E2,9.795356750E2
2.264462358E2,9.795425415E2
2.275066388E2,9.795437622E2
2.285670448E2,9.795437622E2
2.296273888E2,9.795432281E2
2.306877158E2,9.795397186E2
2.317480448E2,9.795391846E2
2.328084038E2,9.795373535E2
2.338686948E2,9.795373535E2
2.349290598E2,9.795343018E2
2.359894468E2,9.795325470E2
2.370498088E2,9.795325470E2
2.381100978E2,9.795291901E2
2.391704318E2,9.795227814E2
2.402307908E2,9.795223236E2
2.412910778E2,9.795196533E2
2.423514188E2,9.795163727E2
2.434117648E2,9.795108032E2
2.444721668E2,9.795085907E2
2.455325738E2,9.795085144E2
2.465928768E2,9.795066071E2
2.476532178E2,9.795030975E2
2.487136018E2,9.795015717E2
2.497739238E2,9.795004272E2
2.508343368E2,9.795015717E2
2.518947528E2,9.795027161E2
2.529551068E2,9.795043945E2
2.540155658E2,9.795071411E2
2.550759978E2,9.795104218E2
2.561362908E2,9.795104218E2
2.571966398E2,9.795088196E2
2.582569618E2,9.795075226E2
2.593173698E2,9.795072937E2
2.603778158E2,9.795032501E2
2.614382108E2,9.795014191E2
2.624985408E2,9.795004272E2
2.635588688E2,9.795000458E2
2.646192158E2,9.794989777E2
2.656796308E2,9.794969177E2
2.667400198E2,9.794969177E2
2.678004298E2,9.794947815E2
2.688607738E2,9.794908905E2
2.699211018E2,9.794890594E2
2.709814838E2,9.794841003E2
