"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.071127727E1,5.058394090E1,8.699270425E0,1.788216637E2,3.681845903E0,1.908480436E2,7.034660895E0,8.656936898E0
6.171128406E1,5.058391012E1,8.699265282E0,1.788981215E2,3.634204626E0,1.824963299E2,7.034660895E0,8.774571288E0
6.271129086E1,5.058389136E1,8.699269744E0,1.790810893E2,2.913114309E0,1.713140500E2,7.034660895E0,9.100319031E0
6.371129849E1,5.058387315E1,8.699277863E0,1.792771579E2,2.913114309E0,1.644365064E2,7.034660895E0,9.340846032E0
6.471130564E1,5.058384391E1,8.699285697E0,1.793142719E2,2.913114309E0,1.644881464E2,7.034660895E0,9.503277793E0
6.571131208E1,5.058388950E1,8.699357226E0,1.787873565E2,3.035351393E0,1.585101509E2,7.034660921E0,3.000000000E0
6.671131911E1,5.058383777E1,8.699380868E0,1.785597580E2,4.007328601E0,1.545562030E2,5.037295580E0,3.000000000E0
6.771132591E1,5.058379558E1,8.699416801E0,1.782308788E2,4.464293560E0,1.478972472E2,5.709200327E0,3.000000000E0
6.871133318E1,5.058376977E1,8.699452863E0,1.781347682E2,4.135139788E0,1.397066911E2,5.116944305E0,3.000000000E0
6.971134045E1,5.058374807E1,8.699496503E0,1.776373885E2,3.894084993E0,1.285538787E2,5.984098034E0,3.000000000E0
7.071134736E1,5.058373518E1,8.699539454E0,1.778817047E2,3.683566748E0,1.167635346E2,6.569369354E0,3.099371287E0
7.171135428E1,5.058372064E1,8.699586428E0,1.777661623E2,3.645992215E0,1.090564202E2,6.362090831E0,3.000000000E0
7.271136119E1,5.058370921E1,8.699629890E0,1.774108637E2,3.480293525E0,1.040643251E2,6.781059239E0,3.079558379E0
7.371136811E1,5.058369873E1,8.699673894E0,1.771211221E2,3.347718751E0,9.439514253E1,6.938894521E0,3.334125059E0
7.471137550E1,5.058370044E1,8.699701057E0,1.771884725E2,2.953410239E0,8.212465922E1,7.459028205E0,3.756540739E0
7.571138229E1,5.058370407E1,8.699735648E0,1.772151050E2,2.939361281E0,7.478463303E1,8.153405079E0,3.886828378E0
7.671138909E1,5.058371215E1,8.699770950E0,1.769563223E2,3.076251724E0,6.880247516E1,8.637287699E0,3.974615241E0
7.771139695E1,5.058371358E1,8.699807763E0,1.773716437E2,3.175334957E0,6.868638309E1,8.595207600E0,3.972160599E0
7.871140423E1,5.058370832E1,8.699855101E0,1.766743449E2,3.349818607E0,7.148726490E1,8.529907590E0,3.901322247E0
7.971141102E1,5.058371391E1,8.699882200E0,1.768576734E2,3.089017044E0,6.919970227E1,9.125368065E0,4.024630227E0
8.071141782E1,5.058373087E1,8.699925259E0,1.770599617E2,3.428751958E0,5.864362382E1,9.601311190E0,4.222241996E0
8.171142521E1,5.058374818E1,8.699961380E0,1.770678402E2,3.520299624E0,5.255159149E1,1.001543038E1,4.365192566E0
8.271143212E1,5.058376865E1,8.699998208E0,1.771905570E2,3.698059978E0,4.662850696E1,1.050790555E1,4.723076636E0
8.371143975E1,5.058379389E1,8.700029832E0,1.767809122E2,3.851630392E0,4.101536670E1,1.045160323E1,4.804977686E0
8.471144631E1,5.058381403E1,8.700062033E0,1.770435153E2,3.724371923E0,3.782061143E1,1.046769194E1,4.777570952E0
8.571145358E1,5.058383637E1,8.700084672E0,1.768817965E2,3.586726292E0,3.285810599E1,1.051318404E1,4.632290569E0
8.671146073E1,5.058386424E1,8.700119078E0,1.771029654E2,3.800387950E0,3.052799487E1,1.083392467E1,4.560137883E0
8.771146788E1,5.058388566E1,8.700156727E0,1.771279126E2,3.709613097E0,3.181154256E1,1.155540438E1,4.776951654E0
8.871147504E1,5.058390511E1,8.700195653E0,1.771962122E2,3.648463468E0,3.247425281E1,1.181803798E1,5.178968383E0
8.971148279E1,5.058392936E1,8.700248459E0,1.771474007E2,3.881187896E0,3.591611269E1,1.207938213E1,5.577939785E0
9.071148994E1,5.058395156E1,8.700291445E0,1.771137926E2,3.727912686E0,3.854399317E1,1.238067966E1,5.887171305E0
9.171149637E1,5.058397513E1,8.700338399E0,1.769827789E2,3.758417278E0,4.203201836E1,1.291327117E1,6.170201439E0
9.271150353E1,5.058400076E1,8.700382996E0,1.771261789E2,3.789042281E0,4.297825596E1,1.327949840E1,6.228649043E0
9.371151104E1,5.058402570E1,8.700422333E0,1.771943809E2,3.832156132E0,3.970133338E1,1.333690264E1,6.586666435E0
9.471151855E1,5.058404930E1,8.700466201E0,1.773483008E2,3.886392235E0,4.020171643E1,1.350972363E1,6.578747383E0
9.571152510E1,5.058407231E1,8.700507052E0,1.776352464E2,3.815052389E0,4.059465741E1,1.370737194E1,6.546559451E0
9.671153250E1,5.058409893E1,8.700547971E0,1.775344211E2,3.908071460E0,4.149691684E1,1.411078672E1,6.939938624E0
9.771154012E1,5.058412807E1,8.700584379E0,1.778845062E2,3.989662436E0,3.759653375E1,1.435515284E1,7.163647965E0
9.871154740E1,5.058414986E1,8.700628296E0,1.774191064E2,3.856237269E0,4.078739764E1,1.458777222E1,7.245511873E0
9.971155383E1,5.058417557E1,8.700664750E0,1.774495312E2,3.695393518E0,3.713457233E1,1.486309164E1,7.371859562E0
1.007115611E2,5.058420484E1,8.700713701E0,1.765013825E2,3.807650612E0,3.660934447E1,1.495273402E1,7.073389937E0
