"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.551038917E0,1.990261230E0,7.608677673E0,6.814579010E0
1.561067917E0,1.054407349E0,8.249345398E0,6.586902466E0
1.571095917E0,1.008901978E0,8.172106018E0,6.317762146E0
1.581124917E0,9.331594849E-1,8.350085907E0,6.559958496E0
1.591152917E0,1.103654938E0,8.610095215E0,7.087611237E0
1.601181917E0,1.151106262E0,8.472980347E0,7.711663513E0
1.611209917E0,1.231040039E0,8.272547150E0,7.839797058E0
1.621238917E0,1.307530975E0,8.249944153E0,7.524253235E0
1.631266917E0,1.345402222E0,8.078101501E0,7.160809021E0
1.641295917E0,1.112336884E0,7.580985260E0,6.906038818E0
1.651323917E0,5.519023132E-1,6.947203217E0,6.765331421E0
1.661352917E0,4.966671753E-1,7.131020966E0,6.553072815E0
1.671380917E0,1.002315674E0,7.654781799E0,6.036646729E0
1.681409917E0,1.206640778E0,7.650440826E0,5.364244995E0
1.691437917E0,1.136586456E0,7.555238800E0,5.100343781E0
1.701466917E0,9.147477722E-1,7.213499451E0,5.561534729E0
1.711494917E0,9.114546204E-1,6.401587830E0,6.026168518E0
1.721523917E0,8.376580811E-1,5.929170227E0,6.707401886E0
1.731552917E0,8.726852417E-1,6.074368286E0,7.112010498E0
1.741580917E0,9.610015869E-1,6.615343323E0,6.502927094E0
1.751609917E0,5.450166321E-1,7.320676575E0,5.738167419E0
1.761637917E0,-4.188290405E-1,7.399562531E0,5.421276398E0
1.771666917E0,-7.050338745E-2,7.487579498E0,6.072122955E0
1.781694917E0,7.309300232E-1,7.859256592E0,7.278464355E0
1.791723917E0,9.484277344E-1,8.286617889E0,7.422165527E0
1.801751917E0,9.092092896E-1,8.952283630E0,6.760840759E0
1.811780917E0,9.273216248E-1,8.692573700E0,6.274502106E0
1.821808917E0,8.599617004E-1,8.044421539E0,6.110143890E0
1.831837917E0,8.907975769E-1,7.489226074E0,6.446494446E0
1.841865917E0,1.111438751E0,7.026687927E0,6.767876129E0
1.851894917E0,1.250050507E0,6.848109283E0,6.184539185E0
1.861922917E0,1.044527893E0,5.012177124E0,4.870571594E0
1.871951917E0,3.627556458E0,5.996230774E0,1.844314728E0
1.881979917E0,1.314566345E0,9.315578156E0,2.785557404E0
1.892008917E0,1.549128571E0,9.074579315E0,4.245770874E0
1.902036917E0,2.872975616E0,8.538843384E0,4.052223358E0
1.912065917E0,3.230432281E0,1.122291183E1,4.274810486E0
1.922093917E0,3.130739594E0,1.082518890E1,4.531376953E0
1.932122917E0,1.708247681E0,1.027717850E1,5.030289459E0
1.942151917E0,1.453028412E0,1.025113266E1,5.407505035E0
1.952179917E0,1.580862579E0,1.014799713E1,4.559219055E0
1.962208917E0,1.418899384E0,8.925189972E0,3.896696777E0
1.972236917E0,1.075663147E0,7.477700043E0,3.442092133E0
1.982265917E0,6.430627441E-1,7.386240234E0,2.865341492E0
1.992293917E0,5.800437927E-1,7.756719818E0,2.978506165E0
2.002322917E0,5.019062805E-1,8.131390686E0,3.508553925E0
2.012350917E0,1.793270874E-1,8.466543732E0,4.102369080E0
2.022379917E0,8.292755127E-2,8.839717712E0,4.700525208E0
2.032407917E0,3.745211792E-1,9.892777863E0,5.254972229E0
2.042436917E0,6.545887756E-1,1.081695602E1,5.784121857E0
2.052464917E0,1.519939270E0,1.107636658E1,6.548282776E0
2.062493917E0,1.313817902E0,1.116887421E1,6.656507721E0
2.072521917E0,1.269959106E0,1.067520081E1,6.087241516E0
2.082550917E0,1.406475220E0,1.009051666E1,4.701872406E0
2.092578917E0,7.083270264E-1,1.007988876E1,3.710933075E0
2.102607917E0,4.400848389E-1,9.843979340E0,4.084705811E0
2.112636917E0,2.775228882E-1,8.730444946E0,4.214485931E0
2.122664917E0,-4.626878357E-1,7.389982452E0,3.536545715E0
2.132693917E0,-6.909631348E-1,6.803951111E0,3.330424347E0
2.142721917E0,-3.573069763E-1,6.633156281E0,3.133733368E0
2.152750917E0,-2.119592285E-1,6.039939880E0,2.741997986E0
2.162778917E0,-1.407073975E-2,5.210664368E0,2.173779602E0
2.172807917E0,7.090754700E-1,4.887187042E0,1.845661926E0
2.182835917E0,8.193960571E-1,6.059100037E0,2.019001465E0
2.192864917E0,8.879534912E-1,7.182364197E0,1.524878998E0
2.202892917E0,1.376986542E0,8.534053345E0,4.709207153E-1
2.212921917E0,1.910477142E0,8.859925690E0,2.323168945E-1
2.222949917E0,1.911674652E0,7.772736511E0,6.289920044E-1
2.232978917E0,1.818119202E0,7.166347504E0,9.924362183E-1
2.243007917E0,4.474495239E0,9.099128265E0,2.277962952E0
2.253035917E0,3.845203857E0,1.074495575E1,3.124153290E0
2.263064917E0,3.104095001E0,1.201132233E1,5.121599579E0
2.273092917E0,3.362158356E0,1.214379684E1,5.431006165E0
2.283121917E0,2.535876617E0,1.123743164E1,4.165537720E0
2.293149917E0,2.654729462E0,1.134116592E1,3.124452667E0
2.303178917E0,2.806513824E0,1.213721054E1,2.568209381E0
2.313206917E0,3.235222321E0,1.219798416E1,1.781445465E0
2.323235917E0,3.268453217E0,1.162737076E1,6.295907593E-1
2.333263917E0,3.138373718E0,1.078462326E1,2.462379456E-1
2.343292917E0,2.858306122E0,1.072774155E1,9.975256348E-1
2.353320917E0,2.502046967E0,1.072609497E1,1.199755096E0
2.363349917E0,2.243833923E0,1.000414627E1,1.466799774E0
2.373377917E0,1.473984833E0,9.708960114E0,1.037791901E0
2.383406917E0,2.665956116E-1,8.729097748E0,1.310225372E0
2.393435917E0,-1.169817352E0,7.672295380E0,1.156495056E0
2.403463917E0,-1.688189392E0,7.966583405E0,6.162684631E-1
2.413492917E0,-4.206253052E-1,9.002429352E0,-2.628533936E-1
2.423520917E0,9.910890198E-1,9.562564545E0,-6.670129395E-1
2.433549917E0,1.635349274E0,9.575587463E0,-1.195414124E0
2.443577917E0,1.873054962E0,9.657167816E0,-1.986519012E0
2.453606917E0,4.949906616E0,7.875572662E0,5.023553467E-1
2.463634917E0,3.667523346E0,8.280480652E0,3.664529572E0
2.473663917E0,2.413580933E0,8.166118469E0,3.441942444E0
2.483691917E0,3.206182709E0,8.212821350E0,3.257226562E0
2.493720917E0,3.091820526E0,1.027598099E1,3.739523621E0
2.503749917E0,3.444636841E0,1.175445648E1,4.032015381E0
2.513777917E0,3.848946075E0,1.268417313E1,4.086053009E0
2.523806917E0,2.649041290E0,1.397463959E1,4.555776215E0
2.533834917E0,9.583071899E-1,1.455947342E1,3.964356079E0
2.543864208E0,1.001866608E0,1.339324860E1,3.198997650E0
2.553892208E0,1.093176727E0,1.018347336E1,2.078128510E0
2.563921208E0,-6.459068298E-1,8.344996490E0,4.651277618E0
2.573949208E0,-1.636546783E0,7.040309601E0,5.973627777E0
2.583978208E0,-3.391197968E0,6.404431915E0,8.552165680E0
2.594006208E0,-2.260898438E0,4.436174927E0,3.930676117E0
2.604035208E0,-5.962101746E-1,3.942800903E0,-4.802014160E0
2.614064208E0,-2.326162720E-1,5.597759399E0,-7.584577789E0
2.624092208E0,4.397854614E-1,6.546636200E0,-2.998115387E0
2.634121208E0,4.497996368E0,7.410489807E0,2.640509033E-1
2.644149208E0,3.611839142E0,8.405919800E0,-1.395098877E-1
2.654178208E0,1.977238312E0,9.713750153E0,-2.005230103E0
2.664206208E0,2.106120300E0,8.828790436E0,-1.982926483E0
2.674235208E0,1.547182617E0,6.630910950E0,-8.156538391E-1
2.684263208E0,9.550140381E-1,4.133803711E0,-1.267863464E-1
2.694292208E0,2.758763123E-1,1.665736084E0,7.466473389E-1
2.704320208E0,3.457809448E-1,-9.918374634E-1,1.049467621E0
2.714349208E0,9.322613525E-1,-3.981570282E0,9.036708069E-1
2.724377208E0,2.571801910E0,-3.580853577E0,2.056273956E0
2.734406208E0,6.743476868E-1,-1.102756805E0,3.298989716E0
2.744435208E0,8.366102600E-1,3.289559326E0,5.850284271E0
2.754463208E0,2.869532776E0,9.417067108E0,7.125781860E0
2.764492208E0,3.588936768E0,1.017119888E1,6.771019592E0
2.774520208E0,1.807191925E0,8.899593201E0,3.879183197E0
2.784549208E0,2.532733154E-1,7.969128113E0,-8.846603394E-1
2.794577208E0,-7.244934082E-2,1.043629761E1,-7.709717560E0
2.804606208E0,3.860472107E-1,1.598106720E1,-6.552623749E0
2.814634208E0,-1.873054962E0,1.254616013E1,4.720583496E0
2.824663208E0,-5.990542603E-1,1.308129730E1,3.549119568E0
2.834692208E0,2.299667816E0,1.837488922E1,9.569599915E-1
2.844720208E0,3.574716339E0,1.970547226E1,-6.080355835E-1
2.854749208E0,5.266797638E0,1.940295135E1,-8.216413879E-1
2.864777208E0,8.910670166E0,1.799572769E1,-2.682122498E0
2.874806208E0,1.056338333E1,2.344679214E1,1.993105316E0
2.884834208E0,3.872896271E0,2.171339676E1,8.697214050E0
2.894863208E0,-6.865173798E0,1.213271988E1,1.305525146E1
2.904891208E0,-3.872596893E0,6.783743134E0,3.740571442E0
2.914920208E0,-4.094285889E0,7.161407776E0,2.204166412E0
2.924948208E0,-5.831872559E0,1.011925690E1,4.276007996E0
2.934977208E0,-5.275479584E0,1.081036972E1,9.745933228E0
2.945006208E0,-4.734654236E-1,8.489895172E0,5.675148468E0
2.955034208E0,2.229613495E0,8.154592438E0,2.911295929E0
2.965063208E0,2.102827148E0,8.002808075E0,1.546134796E0
2.975091208E0,7.388635254E-1,7.719896393E0,1.095422058E0
2.985120208E0,-7.909552002E-1,8.540939026E0,2.033371582E0
2.995148208E0,-2.270628204E0,9.403146057E0,3.368744659E0
3.005177208E0,-2.802172852E0,1.033151550E1,4.002227325E0
3.015205208E0,-1.598675537E0,1.113294891E1,3.929478607E0
3.025234208E0,-3.926335144E-1,1.102921463E1,2.781366119E0
3.035263208E0,-8.502319336E-2,1.071426956E1,1.878443756E0
3.045291208E0,-9.340576172E-2,1.032867142E1,1.976789246E0
3.055320208E0,3.058140564E-1,9.812694397E0,2.021546173E0
3.065348208E0,2.154020691E-1,9.974807281E0,1.607806549E0
3.075377208E0,1.486408997E-1,9.003028107E0,2.733765106E0
3.085405208E0,-5.331912231E-1,8.313561859E0,3.599864044E0
3.095434208E0,-5.513035583E-1,8.655750275E0,4.403393097E0
3.105462208E0,-1.732048187E0,8.359516296E0,4.323159943E0
3.115491208E0,-1.907782745E0,8.389154663E0,3.048261108E0
3.125520208E0,-1.634451141E0,9.031019897E0,2.946173401E0
3.135548208E0,-1.256038055E0,9.252259827E0,3.686234436E0
3.145577208E0,-1.259780273E0,8.954079895E0,3.966451721E0
3.155605208E0,-1.240171051E0,9.306147766E0,3.774101715E0
3.165634208E0,-8.122109985E-1,9.381141815E0,3.338806915E0
3.175662208E0,-3.650907898E-1,9.382039948E0,3.086880798E0
3.185691208E0,-1.327738953E-1,9.270372162E0,3.150797882E0
3.195719208E0,-3.308120728E-2,9.201964417E0,3.174448700E0
3.205748208E0,7.873626709E-2,9.234446869E0,3.185525665E0
3.215777208E0,2.210902405E-1,9.255253601E0,3.198548584E0
3.225805208E0,2.609074402E-1,9.262588348E0,3.203638000E0
3.235834208E0,3.013233948E-1,9.297914886E0,3.406316528E0
3.245862208E0,-7.634124756E-3,9.245972900E0,3.432811432E0
3.255891208E0,-2.790197754E-1,9.276958466E0,3.300336914E0
3.265919208E0,-3.496728516E-1,9.282496948E0,3.277733917E0
3.275948208E0,-4.132905579E-1,9.290131073E0,3.348536682E0
3.285976208E0,-4.510121155E-1,9.291627960E0,3.488944702E0
3.296005208E0,-3.992198181E-1,9.236243134E0,3.555107117E0
3.306034208E0,-2.999761963E-1,9.165440369E0,3.465742950E0
3.316062208E0,-2.378553772E-1,9.132059784E0,3.387306061E0
3.326091208E0,-2.381547546E-1,9.110654297E0,3.387605438E0
3.336119208E0,-3.200344849E-1,9.080716553E0,3.419489136E0
3.346148208E0,-4.098477173E-1,9.075028381E0,3.466491394E0
3.356176208E0,-5.044509888E-1,9.102571106E0,3.525169373E0
3.366205208E0,-5.779481506E-1,9.136251068E0,3.551664276E0
3.376234208E0,-5.929170227E-1,9.114097137E0,3.517984314E0
3.386262208E0,-6.354286194E-1,9.079369354E0,3.501817932E0
3.396291208E0,-6.593788147E-1,9.029972076E0,3.472928009E0
3.406319208E0,-6.150709534E-1,8.989107056E0,3.450175323E0
3.416348208E0,-5.990542603E-1,8.926088104E0,3.378624115E0
3.426376208E0,-5.912704468E-1,8.872200165E0,3.314856720E0
3.436405208E0,-5.614823914E-1,8.859776001E0,3.236719208E0
3.446433208E0,-4.971162415E-1,8.893905029E0,3.217259674E0
3.456462208E0,-4.308041382E-1,8.935668182E0,3.194506989E0
3.466491208E0,-3.876937866E-1,9.090446320E0,3.235521698E0
3.476519208E0,-3.658392334E-1,9.285640411E0,3.311862946E0
3.486548208E0,-2.356100464E-1,9.331445160E0,3.327280884E0
3.496576208E0,-2.392025757E-1,9.437873840E0,3.424877930E0
3.506605208E0,-2.510279846E-1,9.714348907E0,3.448079681E0
3.516633208E0,-1.311273193E-1,9.704619141E0,3.307671661E0
3.526662208E0,-2.492317200E-1,9.340127106E0,3.326233063E0
