id,Route8,distance,angle,Z_1
,Run8,443,351.384351815858,304.652008056641
,Run8,444,351.384351815858,304.868011474609
,Run8,445,351.384351815858,304.839019775391
,Run8,446,351.384351815858,304.810028076172
,Run8,447,351.384351815858,304.797027587891
,Run8,448,351.384351815858,304.751007080078
,Run8,449,351.384351815858,304.697021484375
,Run8,450,351.384351815858,304.631011962891
,Run8,451,351.384351815858,304.843017578125
,Run8,452,351.384351815858,304.780029296875
,Run8,453,351.384351815858,304.780029296875
,Run8,454,351.384351815858,304.727020263672
,Run8,455,351.384351815858,304.682006835938
,Run8,456,351.384351815858,304.626007080078
,Run8,457,350.672385489376,304.826019287109
,Run8,458,350.672385489376,304.802001953125
,Run8,459,350.672385489376,304.755004882812
,Run8,460,350.672385489376,304.703002929688
,Run8,461,350.672385489376,304.653015136719
,Run8,462,350.672385489376,304.600006103516
,Run8,463,350.672385489376,304.801025390625
,Run8,464,350.672385489376,304.759002685547
,Run8,465,350.672385489376,304.753021240234
,Run8,466,350.672385489376,304.719024658203
,Run8,467,350.672385489376,304.647003173828
,Run8,468,350.672385489376,304.602020263672
,Run8,469,350.672385489376,304.748016357422
,Run8,470,350.672385489376,304.75
,Run8,471,350.672385489376,304.723022460938
,Run8,472,350.672385489376,304.701019287109
,Run8,473,350.672385489376,304.656005859375
,Run8,474,350.672385489376,304.571014404297
,Run8,475,350.672385489376,304.536010742188
,Run8,476,350.672385489376,304.726013183594
,Run8,477,350.672385489376,304.7080078125
,Run8,478,350.672385489376,304.693023681641
,Run8,479,350.672385489376,304.654022216797
,Run8,480,350.672385489376,304.606018066406
,Run8,481,350.672385489376,304.570007324219
,Run8,482,350.672385489376,304.677001953125
,Run8,483,350.672385489376,304.678009033203
,Run8,484,350.672385489376,304.680999755859
,Run8,485,350.672385489376,304.649017333984
,Run8,486,350.672385489376,304.591003417969
,Run8,487,350.672385489376,304.548004150391
,Run8,488,350.672385489376,304.655029296875
,Run8,489,350.672385489376,304.651000976562
,Run8,490,350.672385489376,304.638000488281
,Run8,491,350.672385489376,304.657012939453
,Run8,492,350.672385489376,304.607025146484
,Run8,493,350.672385489376,304.566009521484
,Run8,494,350.672385489376,304.621002197266
,Run8,495,350.672385489376,304.617004394531
,Run8,496,350.672385489376,304.594024658203
,Run8,497,350.672385489376,304.570007324219
,Run8,498,350.672385489376,304.555023193359
,Run8,499,350.672385489376,304.536010742188
,Run8,500,350.672385489376,304.559020996094
,Run8,501,350.672385489376,304.554016113281
,Run8,502,350.672385489376,304.506011962891
,Run8,503,350.672385489376,304.506011962891
,Run8,504,350.672385489376,304.455017089844
,Run8,505,350.672385489376,304.381011962891
,Run8,506,350.672385489376,304.358001708984
,Run8,507,350.672385489376,304.397003173828
,Run8,508,350.672385489376,304.383026123047
,Run8,509,350.672385489376,304.401000976562
,Run8,510,350.672385489376,304.403015136719
,Run8,511,350.672385489376,304.420013427734
,Run8,512,350.672385489376,304.421020507812
,Run8,513,350.672385489376,304.462005615234
,Run8,514,350.672385489376,304.467010498047
,Run8,515,350.672385489376,304.489013671875
,Run8,516,350.672385489376,304.519012451172
,Run8,517,350.672385489376,304.552001953125
,Run8,518,350.672385489376,304.567016601562
,Run8,519,350.672385489376,304.584014892578
,Run8,520,350.672385489376,304.584014892578
,Run8,521,350.672385489376,304.590026855469
,Run8,522,350.672385489376,304.595001220703
,Run8,523,350.672385489376,304.634002685547
,Run8,524,350.672385489376,304.592010498047
,Run8,525,350.672385489376,304.653015136719
,Run8,526,350.672385489376,304.6240234375
,Run8,527,350.672385489376,304.637023925781
,Run8,528,350.672385489376,304.614013671875
,Run8,529,350.672385489376,304.663024902344
,Run8,530,350.672385489376,304.621002197266
,Run8,531,350.672385489376,304.664001464844
