"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.879217833E0,-1.225098729E0,-9.469742775E-1,-1.554244608E-1
2.889246833E0,-6.805871725E-1,-4.700898826E-1,-2.059922516E-1
2.899275833E0,7.706803083E-2,1.763232499E-1,-8.763843030E-2
2.909304833E0,3.009024262E-1,2.894706428E-1,1.789303683E-2
2.919334833E0,9.050179273E-2,-2.081772089E-1,6.973544136E-3
2.929363833E0,-8.647093922E-2,-3.979982138E-1,-1.091608480E-1
2.939392833E0,-5.657802522E-2,-1.680313051E-1,-1.690798402E-1
2.949421833E0,2.160603181E-2,7.851166278E-2,-1.788833439E-1
2.959450833E0,5.907484144E-2,1.887159348E-1,-1.736092269E-1
2.969480833E0,1.305812597E-1,3.208837211E-1,-1.803145111E-1
2.979509833E0,9.391273260E-1,1.705602765E0,-2.997610271E-1
2.989538833E0,1.689674377E0,2.854846954E0,-5.705001950E-1
2.999567833E0,2.098090887E0,3.112835646E0,-9.003095627E-1
3.009596833E0,2.208602428E0,2.833041430E0,-8.053478003E-1
3.019626833E0,1.824740529E0,2.300789833E0,-3.253465295E-1
3.029655833E0,1.294685960E0,1.823688865E0,1.088568866E-1
3.039684833E0,1.151916623E0,1.945021749E0,1.293395311E-1
3.049713833E0,1.575609446E0,2.472671747E0,-5.128069595E-2
3.059742833E0,1.709138155E0,2.539228439E0,-2.080210447E-1
3.069772833E0,9.433097839E-1,1.336415648E0,-3.639354408E-1
3.079801833E0,7.162120193E-2,4.087434709E-1,-3.851251602E-1
3.089830833E0,-1.227313876E-1,1.526132077E-1,-9.425374120E-2
3.099859833E0,-1.728853732E-1,1.503897458E-1,1.808662415E-1
3.109888333E0,-4.854065180E-1,-2.062740475E-1,3.036035299E-1
3.119918333E0,-1.007566929E0,-7.255328894E-1,2.724730372E-1
3.129947333E0,-1.466888189E0,-1.261071324E0,4.163017869E-2
3.139976333E0,-1.802530885E0,-1.700840473E0,-1.364684552E-1
3.150005333E0,-1.935764074E0,-1.819146514E0,3.001721576E-2
3.160034333E0,-1.696638584E0,-1.587509274E0,2.653000355E-1
3.170064333E0,-1.688998342E0,-1.854395747E0,3.300173879E-1
3.180093333E0,-1.441613078E0,-2.455693483E0,3.267558217E-1
3.190122333E0,-1.519564509E0,-2.899801731E0,2.158765644E-1
3.200151333E0,-1.537978649E0,-3.065122604E0,3.752573207E-2
3.210180333E0,-1.471285105E0,-3.458021164E0,-9.707946330E-2
3.220210333E0,-1.354271054E0,-3.016371012E0,-2.072597742E-1
3.230239333E0,-9.295057058E-1,-1.886642456E0,-1.801293641E-1
