"Time (s)","X (hPa)"
1.958007520E2,9.716651917E2
1.968615480E2,9.716448975E2
1.979223800E2,9.716326141E2
1.989832330E2,9.716171265E2
2.000440430E2,9.716063690E2
2.011048990E2,9.715911102E2
2.021657380E2,9.715756226E2
2.032265680E2,9.715625763E2
2.042873950E2,9.715452576E2
2.053482230E2,9.715347290E2
2.064090240E2,9.715235901E2
2.074698740E2,9.715074921E2
2.085307200E2,9.714911652E2
2.095915890E2,9.714829254E2
2.106524450E2,9.714701080E2
2.117133370E2,9.714600372E2
2.127742590E2,9.714514160E2
2.138351900E2,9.714449310E2
2.148960430E2,9.714360809E2
2.159568700E2,9.714219666E2
2.170177490E2,9.714099884E2
2.180785780E2,9.713954163E2
2.191394230E2,9.713800049E2
2.202002770E2,9.713635254E2
2.212611630E2,9.713514709E2
2.223220510E2,9.713394165E2
2.233829550E2,9.713346100E2
2.244438600E2,9.713227844E2
2.255047330E2,9.713117981E2
2.265655630E2,9.713018036E2
2.276263150E2,9.712934875E2
2.286871320E2,9.712843323E2
2.297479980E2,9.712794495E2
2.308088060E2,9.712676239E2
2.318696430E2,9.712601471E2
2.329304550E2,9.712528229E2
2.339912690E2,9.712390137E2
2.350521220E2,9.712271118E2
2.361129660E2,9.712229156E2
2.371738120E2,9.712146759E2
2.382346980E2,9.712103271E2
2.392955480E2,9.712096405E2
2.403564190E2,9.712050629E2
2.414172150E2,9.712004089E2
2.424780370E2,9.711946106E2
2.435388570E2,9.711887360E2
2.445996650E2,9.711785126E2
2.456604060E2,9.711727142E2
2.467212390E2,9.711642456E2
2.477821350E2,9.711571503E2
2.488429240E2,9.711450958E2
2.499036990E2,9.711354065E2
2.509645060E2,9.711260986E2
2.520253090E2,9.711212921E2
2.530860930E2,9.711183167E2
2.541468440E2,9.711113739E2
2.552075830E2,9.711077881E2
2.562684430E2,9.711055756E2
2.573293440E2,9.711022186E2
2.583902180E2,9.711009216E2
2.594510140E2,9.710974121E2
2.605117990E2,9.710960388E2
2.615725970E2,9.710911560E2
2.626333850E2,9.710910034E2
2.636941870E2,9.710852051E2
2.647550150E2,9.710833740E2
2.658158700E2,9.710820007E2
2.668767630E2,9.710820007E2
2.679376310E2,9.710784149E2
2.689984710E2,9.710775757E2
2.700592660E2,9.710764313E2
2.711200880E2,9.710687256E2
2.721809520E2,9.710606384E2
2.732418110E2,9.710600281E2
2.743026240E2,9.710509491E2
2.753634780E2,9.710478210E2
2.764243230E2,9.710437775E2
2.774851280E2,9.710437775E2
2.785459570E2,9.710475922E2
2.796067880E2,9.710483551E2
2.806675980E2,9.710537720E2
2.817283910E2,9.710537720E2
2.827892250E2,9.710520935E2
2.838500600E2,9.710420990E2
2.849109190E2,9.710420990E2
2.859717800E2,9.710449982E2
2.870326300E2,9.710512543E2
2.880934770E2,9.710634613E2
2.891543200E2,9.710795593E2
2.902151160E2,9.710874939E2
2.912758980E2,9.710876465E2
2.923367750E2,9.710933685E2
2.933975820E2,9.710955811E2
2.944584010E2,9.710985565E2
2.955193150E2,9.711028290E2
2.965802540E2,9.711053467E2
2.976411670E2,9.711122131E2
2.987020550E2,9.711152649E2
2.997629050E2,9.711229706E2
3.008237280E2,9.711241913E2
3.018845410E2,9.711269379E2
3.029454350E2,9.711311340E2
3.040062430E2,9.711328888E2
3.050670390E2,9.711368561E2
3.061278530E2,9.711477661E2
3.071887220E2,9.711632538E2
3.082494710E2,9.711706543E2
3.093102870E2,9.711815643E2
3.103710970E2,9.711847687E2
3.114318500E2,9.711848450E2
3.124926670E2,9.711857605E2
3.135535570E2,9.711889648E2
3.146144250E2,9.711911011E2
3.156752340E2,9.711990356E2
3.167360220E2,9.712048340E2
3.177968420E2,9.712054443E2
3.188576830E2,9.712127686E2
3.199185090E2,9.712270355E2
3.209793190E2,9.712384796E2
3.220401570E2,9.712483215E2
3.231009820E2,9.712526703E2
3.241618070E2,9.712567139E2
3.252226070E2,9.712625885E2
3.262833590E2,9.712680817E2
3.273441610E2,9.712818909E2
3.284049000E2,9.712977600E2
3.294655900E2,9.713188934E2
3.305263370E2,9.713334656E2
3.315870120E2,9.713510895E2
3.326477930E2,9.713575745E2
3.337085500E2,9.713607788E2
3.347693070E2,9.713653564E2
3.358300890E2,9.713743591E2
3.368908270E2,9.713875580E2
3.379515890E2,9.714094543E2
3.390123320E2,9.714301300E2
3.400731010E2,9.714495087E2
3.411338610E2,9.714642334E2
3.421946590E2,9.714806366E2
3.432554650E2,9.714910126E2
3.443162340E2,9.715073395E2
3.453770210E2,9.715186310E2
3.464378010E2,9.715261841E2
3.474986120E2,9.715389252E2
3.485594270E2,9.715553284E2
3.496202360E2,9.715715027E2
3.506810030E2,9.715880585E2
3.517417930E2,9.716136169E2
3.528026310E2,9.716379547E2
3.538634590E2,9.716566467E2
3.549242810E2,9.716790009E2
3.559850360E2,9.717007446E2
3.570457340E2,9.717208099E2
3.581064370E2,9.717363739E2
3.591672020E2,9.717560577E2
3.602280330E2,9.717775726E2
3.612888210E2,9.717929077E2
3.623496460E2,9.718081665E2
3.634105300E2,9.718231964E2
3.644713080E2,9.718434143E2
3.655320940E2,9.718594360E2
3.665929300E2,9.718795013E2
3.676536580E2,9.719043732E2
3.687143750E2,9.719196320E2
