"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.259030967E2,5.058518601E1,8.692047363E0,1.711470092E2,2.466596609E0,6.600971438E1,6.115221718E0,4.265475732E0
1.269030813E2,5.058519319E1,8.692082183E0,1.715368533E2,2.525144908E0,6.506483278E1,6.289902351E0,4.364067521E0
1.279030647E2,5.058519880E1,8.692104281E0,1.716672143E2,2.196996607E0,6.386768178E1,6.202111422E0,4.272626999E0
1.289030484E2,5.058520113E1,8.692168704E0,1.728088351E2,2.916401146E0,7.792408708E1,6.140154044E0,4.226547710E0
1.299030318E2,5.058521887E1,8.692200855E0,1.732771929E2,2.899138529E0,6.245662494E1,6.250053652E0,4.249560328E0
1.309030155E2,5.058522468E1,8.692244055E0,1.743831187E2,2.918856147E0,6.500742981E1,6.150986442E0,4.382775043E0
1.319029994E2,5.058523145E1,8.692271935E0,1.746033511E2,2.271947652E0,6.524561401E1,6.106118360E0,4.227522425E0
1.329029826E2,5.058524296E1,8.692317796E0,1.757440873E2,2.691843549E0,6.628878171E1,6.016371319E0,4.218766660E0
1.339029666E2,5.058525092E1,8.692357096E0,1.751885875E2,2.794382657E0,6.837223599E1,5.918415967E0,4.179435599E0
1.349029503E2,5.058525132E1,8.692391060E0,1.753669408E2,2.525902195E0,7.391739497E1,5.906965661E0,4.149300155E0
1.359029344E2,5.058525639E1,8.692411628E0,1.750699403E2,2.011107688E0,6.870852631E1,5.786323557E0,4.221474231E0
1.369029181E2,5.058526793E1,8.692462659E0,1.760336141E2,2.653738991E0,6.944167428E1,5.934546941E0,4.319519464E0
1.379029012E2,5.058527089E1,8.692512388E0,1.759931132E2,2.867809453E0,7.274622504E1,6.089544026E0,4.413385547E0
1.389028848E2,5.058526355E1,8.692553718E0,1.756836461E2,2.300448689E0,8.008769152E1,6.238193012E0,4.566092498E0
1.399028689E2,5.058527079E1,8.692592275E0,1.763117089E2,2.193367896E0,7.166974473E1,6.215600241E0,4.491995289E0
1.409028530E2,5.058527846E1,8.692632918E0,1.767036088E2,2.418376698E0,7.051228785E1,6.277007759E0,4.661368496E0
1.419028364E2,5.058528313E1,8.692654638E0,1.761286158E2,1.978216347E0,6.870951339E1,6.274267836E0,4.613225751E0
1.429028202E2,5.058529082E1,8.692709820E0,1.764739003E2,2.424272550E0,7.125008990E1,6.426894719E0,4.714991437E0
1.439028035E2,5.058530002E1,8.692737878E0,1.754371471E2,2.020708577E0,6.308813351E1,6.414679324E0,4.760806631E0
1.449027871E2,5.058531255E1,8.692780950E0,1.766718310E2,2.482542737E0,6.659569859E1,6.342790329E0,4.611513378E0
1.459027710E2,5.058531901E1,8.692843034E0,1.758195148E2,3.396211010E0,7.587849852E1,6.193189500E0,4.518504691E0
1.469027551E2,5.058533154E1,8.692864310E0,1.762431933E2,2.661601052E0,7.277285863E1,6.149489497E0,4.625410714E0
1.479027382E2,5.058533728E1,8.692891898E0,1.773645651E2,2.411383893E0,6.984478267E1,6.081633407E0,4.612358979E0
1.489027222E2,5.058535421E1,8.692928945E0,1.776706978E2,2.718946564E0,6.114460163E1,5.984027427E0,4.729723582E0
1.499027060E2,5.058536077E1,8.692968695E0,1.780020116E2,2.765010370E0,6.511862754E1,5.957622735E0,4.561997229E0
1.509026897E2,5.058536207E1,8.692993326E0,1.779959269E2,2.416252588E0,6.763248334E1,6.011176125E0,4.379297414E0
1.519026736E2,5.058536442E1,8.693025290E0,1.773300234E2,2.353265371E0,7.562216661E1,5.994591320E0,4.149318850E0
1.529026576E2,5.058537955E1,8.693047625E0,1.765653198E2,2.253003911E0,6.017329975E1,6.032828560E0,3.967402315E0
1.539026407E2,5.058540098E1,8.693085043E0,1.771127035E2,2.787175198E0,4.951807345E1,6.163250746E0,3.829276672E0
1.549026244E2,5.058539839E1,8.693109799E0,1.776423244E2,1.789580319E0,5.439277206E1,6.081450033E0,3.813352189E0
1.559026083E2,5.058540415E1,8.693150151E0,1.767346248E2,2.272528487E0,6.585226594E1,6.247876291E0,3.660098234E0
1.569025924E2,5.058542216E1,8.693175445E0,1.771619729E2,2.201565508E0,5.277886169E1,6.341755495E0,3.503998110E0
1.579025755E2,5.058542828E1,8.693208969E0,1.771646774E2,2.182546789E0,5.777438518E1,6.372575999E0,3.465295093E0
1.589025595E2,5.058544373E1,8.693235340E0,1.770416172E2,2.212804920E0,5.091239009E1,6.477989904E0,3.535353877E0
1.599025432E2,5.058544659E1,8.693286622E0,1.772035604E2,2.495777448E0,6.332452298E1,6.504537947E0,3.624969258E0
1.609025265E2,5.058544655E1,8.693316418E0,1.762953605E2,2.222546728E0,6.830754435E1,6.357950752E0,3.546960174E0
1.619025109E2,5.058545707E1,8.693363757E0,1.772498799E2,2.464247905E0,6.957591893E1,6.251319431E0,3.630970100E0
1.629024936E2,5.058546231E1,8.693406541E0,1.778238215E2,2.495107694E0,7.478957772E1,6.159848016E0,3.907163619E0
1.639024775E2,5.058546717E1,8.693460443E0,1.788950424E2,2.712153919E0,7.777843563E1,6.083343992E0,3.900578455E0
1.649024612E2,5.058547128E1,8.693515136E0,1.798951627E2,2.796403667E0,7.947364444E1,6.059633476E0,4.004556140E0
1.659024452E2,5.058547219E1,8.693563112E0,1.809250853E2,2.628797795E0,8.093902875E1,6.539020032E0,4.179175626E0
1.669024293E2,5.058547942E1,8.693604259E0,1.803173911E2,2.621604889E0,7.467825247E1,6.684130873E0,4.089698245E0
1.679024131E2,5.058548701E1,8.693639255E0,1.800213866E2,2.644876360E0,7.187915227E1,6.771255520E0,4.208937418E0
