"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.834940737E2,1.649360138E1,1.863983826E1,6.755451965E-1
3.835041017E2,1.999886215E1,2.881941971E1,3.162623291E0
3.835141287E2,1.857038269E1,3.648647598E1,-2.274071045E0
3.835241567E2,1.244676682E1,4.040038696E1,-6.481222229E0
3.835341847E2,8.411158905E0,3.638109512E1,-6.396049347E0
3.835442117E2,7.525001678E0,2.736234970E1,-1.532962189E0
3.835542397E2,7.499554596E0,1.841994553E1,5.604944458E0
3.835642677E2,5.961203613E0,1.257549911E1,8.750353546E0
3.835742957E2,4.073479156E0,7.577991486E0,7.684719543E0
3.835843227E2,2.721191254E0,3.001707916E0,5.158423004E0
3.835943507E2,2.477498016E0,-5.939648438E-1,3.306773529E0
3.836043787E2,2.234553223E0,-2.320025482E0,1.047671356E0
3.836144067E2,2.027982788E0,-3.396886139E0,2.921923828E-1
3.836244337E2,7.987390137E-1,-4.053121490E0,1.134640503E-1
3.836344617E2,-1.648072815E-1,-5.655239868E0,-1.118773499E0
3.836444897E2,-4.752616882E-1,-1.036055511E1,-9.432035980E0
3.836545171E2,-1.348695374E-1,-1.383557877E1,-6.813082123E0
3.836645441E2,9.532177734E-1,-1.537123535E1,3.532803497E0
3.836745721E2,2.285746765E0,-1.177496384E1,5.510790253E0
3.836846001E2,1.122964783E0,-5.291047211E0,3.384761353E0
3.836946271E2,4.559518433E-1,-2.909200287E0,2.348915405E0
3.837046551E2,9.238787842E-1,-1.176703033E0,2.760709076E0
3.837146831E2,1.613794098E0,1.468446350E-1,2.207609253E0
3.837247111E2,1.468596039E0,5.869294739E-1,7.815248108E-1
3.837347381E2,2.077679443E0,1.911974030E0,-1.048569489E0
3.837447661E2,3.328029327E0,3.965852966E0,-2.109712830E0
3.837547941E2,5.529950409E0,3.824846191E0,2.105371857E0
3.837648221E2,5.087620239E0,4.040697327E0,7.019502869E0
3.837748491E2,9.677375793E-1,4.048780518E0,8.172106018E0
3.837848771E2,1.262624359E0,2.175575867E0,1.185953796E1
3.837949051E2,1.832489319E0,5.396278381E0,2.163510956E1
3.838049321E2,-3.823199615E0,1.466365677E1,2.754167679E1
3.838149601E2,-5.244793396E0,2.135564072E1,2.402129745E1
3.838249881E2,-6.429130554E-1,2.338841354E1,1.238958572E1
3.838350161E2,-1.270258484E0,2.013462982E1,1.462608490E0
3.838450431E2,-4.057013397E0,1.853370895E1,-4.597239990E0
3.838550711E2,-4.662803650E0,1.957778778E1,1.319955139E0
3.838650991E2,-2.589465179E0,2.246258881E1,2.598296814E0
3.838751271E2,3.967050476E0,2.407787979E1,-1.716031494E0
3.838851541E2,9.948462067E0,2.324246704E1,-1.347348175E0
3.838951821E2,1.467907471E1,2.557386887E1,2.072440338E0
3.839052101E2,2.005709106E1,2.939377533E1,4.724325714E0
3.839152371E2,2.118739059E1,2.846316055E1,4.991669769E0
3.839252651E2,1.512574585E1,2.058279785E1,4.453389130E0
3.839352931E2,6.615343323E0,1.422955948E1,3.934717712E0
3.839453211E2,1.859582977E0,1.095781311E1,2.400558014E0
3.839553481E2,-9.297166443E-1,7.465425568E0,-4.116439819E-2
3.839653761E2,-3.108885040E0,3.585044861E0,-1.266815643E0
3.839754041E2,-4.162543945E0,5.069956970E-1,-1.411265259E0
3.839854321E2,-4.206702118E0,-9.095086670E-1,1.098715210E-1
3.839954591E2,-4.951553192E0,-1.838925934E0,2.636916504E0
3.840054871E2,-4.813390503E0,-2.939736786E0,4.718338165E0
3.840155151E2,-5.015619965E0,-4.062551880E0,6.296206970E0
3.840255421E2,-3.960913239E0,-4.023782501E0,3.610941010E0
3.840355701E2,-2.038910065E0,-3.639232178E0,5.002597046E-1
3.840455981E2,-7.222480774E-1,-1.500330048E0,-1.144969025E0
3.840556261E2,-7.265890503E-1,2.076182556E-1,-3.527714081E0
3.840656531E2,-1.654210052E0,-3.682342529E-2,-3.232827301E0
3.840756811E2,-3.248095551E0,-5.861810303E-1,-1.822160797E0
3.840857091E2,-3.592828674E0,-1.685944061E0,-3.896397400E-1
3.840957371E2,-3.962410126E0,-2.446811829E0,1.517843628E0
3.841057641E2,-3.425925751E0,-2.000290375E0,2.972069550E0
3.841157921E2,-2.883753204E0,-1.148860931E0,4.849465485E0
3.841258201E2,-4.353846130E0,3.613485718E-1,8.341104584E0
3.841358471E2,-5.244194641E0,3.766916656E0,1.485900055E1
3.841458751E2,6.800957336E0,1.006896149E1,2.799628143E1
3.841559031E2,2.742132706E1,2.028461792E1,3.399400909E1
3.841659311E2,2.924782883E1,2.589734619E1,1.444151871E1
3.841759581E2,2.143392792E1,2.109398483E1,-4.484524384E0
3.841859861E2,2.083277802E1,1.608150833E1,-1.807790680E0
3.841960141E2,2.119083344E1,2.270583298E1,1.653012543E0
3.842060421E2,1.829480576E1,3.269426193E1,-1.408720551E0
3.842160691E2,1.269150787E1,4.206612305E1,-5.766757965E0
