"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.246135583E0,1.867590845E-1,-6.933090091E-2,-6.368529052E-3
1.256165583E0,1.344359517E-1,-9.962408990E-2,7.844862342E-2
1.266193583E0,6.969113648E-2,-2.021600157E-1,1.415928751E-1
1.276223583E0,-2.080785576E-3,-3.339558542E-1,1.603841335E-1
1.286252583E0,-6.810155511E-2,-3.920836747E-1,1.433911026E-1
1.296281583E0,-8.931150287E-2,-3.872010410E-1,1.271551400E-1
1.306311583E0,-8.327437937E-2,-3.288591504E-1,1.108195931E-1
1.316340583E0,-8.880097419E-2,-2.499766201E-1,1.169672310E-1
1.326369583E0,-1.085070074E-1,-1.505850255E-1,1.332351118E-1
1.336399583E0,-9.693370759E-2,-2.073728293E-2,1.338963807E-1
1.346428583E0,-6.053344160E-2,7.160708308E-2,9.840492904E-2
1.356457583E0,-2.408675104E-2,1.685709208E-1,5.728225410E-2
1.366487583E0,-1.859208941E-2,2.621014118E-1,3.096752614E-2
1.376516583E0,-4.090325534E-2,3.323843479E-1,-3.152626101E-3
1.386545583E0,-5.478510633E-2,3.364933133E-1,-7.655469328E-2
1.396575583E0,-6.070531160E-2,2.977959812E-1,-1.870705336E-1
1.406604583E0,-3.774891794E-2,2.248988599E-1,-3.260752261E-1
1.416633583E0,3.297185525E-2,1.282167882E-1,-4.180672169E-1
1.426663583E0,1.058850363E-1,5.112807453E-2,-4.445499182E-1
1.436692583E0,1.397753507E-1,-1.438568905E-2,-5.636893511E-1
1.446721583E0,2.104455084E-1,-1.506400853E-2,-4.713330269E-1
1.456751583E0,1.524511725E-1,3.683700785E-2,-3.578482866E-1
1.466780583E0,1.250768751E-1,8.209735900E-2,-2.791294158E-1
1.476809583E0,1.389809698E-1,1.062040254E-1,-2.319794893E-1
1.486839583E0,1.358302385E-1,1.016148031E-1,-2.166667730E-1
1.496868583E0,1.337252855E-1,7.555922866E-2,-2.272730768E-1
1.506897583E0,1.399006695E-1,2.309311554E-2,-2.459168583E-1
1.516927583E0,1.556061357E-1,-1.208484545E-2,-2.513089776E-1
1.526956583E0,1.696094275E-1,-4.032053798E-2,-2.499836236E-1
1.536985583E0,1.832245737E-1,-7.613153756E-2,-2.399544269E-1
1.547015583E0,1.850966513E-1,-1.079442650E-1,-2.276198864E-1
1.557044583E0,1.561374366E-1,-1.265264750E-1,-2.215353549E-1
1.567073583E0,1.030474380E-1,-1.188937202E-1,-2.231557369E-1
1.577103583E0,3.045818396E-2,-7.905682921E-2,-2.352872342E-1
1.587132583E0,-2.477441914E-2,-2.336079814E-2,-2.300312519E-1
1.597161583E0,-3.380066901E-2,5.069425702E-2,-2.221525609E-1
1.607191583E0,-5.644725636E-3,1.134647653E-1,-1.974787116E-1
1.617220583E0,2.707487345E-2,1.682747453E-1,-1.765105724E-1
1.627249583E0,3.771618381E-2,2.016155273E-1,-1.372264028E-1
1.637279583E0,4.277539253E-2,1.855665147E-1,-7.740701735E-2
1.647308583E0,9.090028703E-2,9.393378347E-2,1.767990878E-3
1.657337583E0,1.231937781E-1,-8.523649722E-2,8.036080003E-2
1.667367583E0,4.291009158E-2,-2.994089723E-1,1.048515290E-1
1.677396583E0,-1.564602703E-1,-5.014861822E-1,9.227501601E-2
1.687425583E0,-3.279029131E-1,-6.831243038E-1,7.067081332E-2
1.697455583E0,-4.581788778E-1,-7.058565617E-1,5.736806244E-2
1.707484583E0,-5.569382906E-1,-6.419405937E-1,9.965239465E-2
1.717513583E0,-5.893718600E-1,-4.847635329E-1,1.353440732E-1
1.727543583E0,-5.178475380E-1,-2.138090581E-1,1.433718204E-1
1.737572583E0,-4.021862447E-1,1.074800342E-1,1.242764220E-1
1.747601583E0,-2.854667008E-1,4.370498657E-1,5.889386311E-2
1.757631583E0,-1.979112774E-1,7.430835962E-1,-3.113802709E-2
1.767660583E0,-1.529078633E-1,9.592719078E-1,-1.211809292E-1
1.777689583E0,-1.143527627E-1,1.016799092E0,-2.116631567E-1
1.787719583E0,-5.772141740E-2,9.522043467E-1,-2.907527983E-1
1.797748583E0,1.922583207E-2,7.458961606E-1,-3.351375759E-1
1.807777583E0,1.225364581E-1,4.765098989E-1,-3.476735651E-1
1.817807583E0,1.934031546E-1,2.543362081E-1,-3.022219241E-1
1.827836583E0,1.249177828E-1,2.862073481E-1,-1.590115875E-1
1.837865583E0,5.290976726E-3,1.293791085E-1,9.848573059E-2
1.847895583E0,-5.752815306E-2,2.580670174E-3,1.939766854E-1
1.857924583E0,-7.106845826E-2,-1.998881996E-2,1.967226714E-1
1.867952000E0,-8.032340556E-2,-2.393070050E-2,1.919377893E-1
1.877982000E0,-5.224596336E-2,3.997602966E-3,1.591428220E-1
1.888011000E0,2.318929136E-2,-9.127741680E-3,1.206662655E-1
1.898040000E0,1.205573902E-1,-1.377304494E-1,6.674471498E-2
1.908070000E0,2.059924304E-1,-2.259143740E-1,2.669819631E-2
1.918099000E0,2.487087399E-1,-2.012191415E-1,2.629526146E-2
1.928128000E0,2.337920517E-1,-1.494226009E-1,5.069890246E-2
1.938158000E0,1.500872970E-1,-9.804864228E-2,6.384693086E-2
1.948187000E0,2.545843273E-2,3.496827558E-4,6.134117767E-2
1.958216000E0,-1.066455469E-1,1.591265500E-1,4.886053875E-2
1.968246000E0,-2.146879435E-1,3.299349248E-1,2.125616185E-2
1.978275000E0,-2.904338539E-1,4.077668786E-1,-2.281675860E-2
1.988304000E0,-3.513983488E-1,4.235605001E-1,-8.883444965E-2
1.998334000E0,-3.966377378E-1,4.545927346E-1,-1.429176480E-1
2.008363000E0,-3.781641126E-1,3.066887558E-1,-9.912282974E-2
2.018392000E0,-3.512118459E-1,1.502531022E-1,-4.865832627E-2
2.028422000E0,-3.073238730E-1,7.586269826E-2,-3.643776104E-2
2.038451000E0,-2.433539480E-1,-9.141019545E-4,-8.584825322E-3
2.048480000E0,-2.025000006E-1,-9.980037808E-2,3.135952726E-2
2.058509000E0,-1.761371046E-1,-1.363994032E-1,5.895573273E-2
2.068539000E0,-1.680463850E-1,-1.113372669E-1,7.424771041E-2
2.078568000E0,-1.612081975E-1,-7.842568681E-3,6.037743390E-2
2.088597000E0,-1.608891785E-1,1.464904547E-1,3.420631215E-2
2.098627000E0,-1.293400377E-1,2.685436606E-1,-8.759262040E-3
2.108656000E0,-8.233094215E-2,3.206393421E-1,-6.392627209E-2
2.118685000E0,-1.383390836E-2,3.206323981E-1,-1.139255241E-1
2.128715000E0,7.079716772E-2,1.771136522E-1,-1.420882791E-1
2.138744000E0,1.637750566E-1,-6.834032387E-2,-1.441950947E-1
2.148773000E0,2.456609011E-1,-3.425178826E-1,-1.328832209E-1
2.158803000E0,3.154037595E-1,-6.001582742E-1,-1.160389930E-1
2.168832000E0,3.892926872E-1,-7.962428927E-1,-1.016962007E-1
2.178861000E0,4.624920785E-1,-9.198662639E-1,-1.248918027E-1
2.188891000E0,5.266296864E-1,-9.684529901E-1,-1.718425453E-1
2.198920000E0,5.686242580E-1,-9.546330571E-1,-2.152675241E-1
2.208949000E0,5.547428727E-1,-8.930849433E-1,-2.286133766E-1
2.218979000E0,4.684729576E-1,-7.800366879E-1,-2.139002085E-1
2.229008000E0,3.327124715E-1,-6.714016199E-1,-1.850368679E-1
2.239037000E0,2.041922957E-1,-5.587453842E-1,-1.457842737E-1
2.249067000E0,1.416957825E-1,-3.637926579E-1,-8.248281479E-2
