"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.351135000E0,1.227721348E-1,4.198943079E-2,2.027877420E-2
1.361163000E0,1.563761681E-1,-1.312947925E-2,-4.554524645E-2
1.371192000E0,2.221506536E-1,-5.929980427E-3,-3.208777308E-2
1.381220000E0,2.559512258E-1,7.205262780E-3,7.503311150E-3
1.391248000E0,2.352211773E-1,7.785138488E-2,3.270749375E-2
1.401277000E0,1.831582487E-1,1.879589856E-1,1.941139624E-2
1.411305000E0,1.425304562E-1,2.862706482E-1,6.492873188E-3
1.421334000E0,1.596167684E-1,2.599532902E-1,-2.279524133E-2
1.431362000E0,2.309949398E-1,2.008961439E-1,-2.211284451E-2
1.441391000E0,3.457391262E-1,7.552624494E-2,1.621510275E-2
1.451419000E0,4.905190170E-1,-1.217027307E-1,4.071295634E-2
1.461447000E0,6.136614680E-1,-2.181432545E-1,1.534054130E-1
1.471476000E0,5.689938664E-1,-3.710380495E-1,1.521390080E-1
1.481504000E0,4.936730266E-1,-4.412099719E-1,1.317162961E-1
1.491533000E0,3.820397556E-1,-3.622593582E-1,1.466053128E-1
1.501561000E0,2.885012925E-1,-2.074868530E-1,2.282540947E-1
1.511589000E0,7.103119045E-2,-2.334930003E-1,1.663153768E-1
1.521618000E0,-1.219417229E-1,-2.460633963E-1,1.869804412E-1
1.531646000E0,-2.663933337E-1,-3.150594831E-1,2.235635966E-1
1.541675000E0,-3.211535215E-1,-3.418900371E-1,2.681659460E-1
1.551703000E0,-2.767996192E-1,-3.279759586E-1,3.096577823E-1
1.561732000E0,-1.783513427E-1,-1.936650425E-1,3.071493506E-1
1.571760000E0,-1.320471317E-1,-3.982950002E-3,3.414759338E-1
1.581788000E0,-1.386600286E-1,1.118232757E-1,4.528506696E-1
1.591817000E0,-1.613216251E-1,1.352364719E-1,5.322542191E-1
1.601845000E0,-1.211454496E-1,1.419348568E-1,5.035045743E-1
1.611874000E0,-3.013877571E-2,9.539853036E-2,3.020955324E-1
1.621902000E0,1.508462895E-2,2.317254841E-1,-2.997351252E-2
1.631931000E0,-1.122889947E-2,4.479239285E-1,-2.146306783E-1
1.641959000E0,-8.847202361E-2,4.755308032E-1,-4.198535979E-1
1.651987000E0,-9.073269367E-2,5.982989073E-1,-4.234816134E-1
1.662016000E0,-5.700695515E-2,5.105925202E-1,-2.664057314E-1
1.672044000E0,3.808300942E-2,2.714008689E-1,3.208314478E-1
1.682073000E0,5.705217272E-2,3.843577579E-2,5.036068559E-1
1.692101000E0,3.593643010E-2,2.017401345E-2,3.005552590E-1
1.702130000E0,6.640299410E-2,6.519395113E-2,1.337723732E-1
1.712158000E0,1.173927113E-1,6.994824111E-2,2.499617450E-2
1.722186000E0,1.438701153E-1,4.533424228E-2,7.313851733E-3
1.732215000E0,1.069697365E-1,-1.011424884E-2,5.116025731E-2
1.742243000E0,5.360132083E-2,-4.215346649E-3,1.013927981E-1
1.752272000E0,-1.147706900E-2,4.288326204E-2,1.294527352E-1
1.762300000E0,-8.720165491E-2,1.244090199E-1,1.161337346E-1
1.772326250E0,-1.256968379E-1,2.359575480E-1,6.764319539E-2
1.782354250E0,-8.802030236E-2,1.829760969E-1,1.846046560E-2
1.792382250E0,-2.359180152E-2,3.992670402E-2,-4.259278998E-3
1.802411250E0,-1.797066629E-2,-5.664217845E-2,-1.246711006E-3
1.812439250E0,-5.469750240E-2,-7.515940070E-2,-1.413051318E-2
1.822468250E0,-1.194528043E-1,-2.795273624E-2,-1.991170272E-2
1.832496250E0,-1.811294258E-1,3.367247060E-2,-2.371849865E-2
1.842525250E0,-2.319742292E-1,1.102878898E-1,-3.235885873E-2
1.852553250E0,-2.567691207E-1,1.671245247E-1,-3.127382696E-2
1.862581250E0,-2.273076326E-1,1.466051340E-1,-2.024434507E-2
1.872610250E0,-1.407096833E-1,5.475356802E-2,-2.815363184E-2
1.882638250E0,-6.846585870E-2,-7.241077721E-2,-5.683800951E-2
1.892667250E0,-3.790038824E-2,-1.677355766E-1,-8.743397146E-2
1.902695250E0,-1.541611739E-2,-2.136988044E-1,-9.749992192E-2
1.912724250E0,2.313843928E-3,-2.120994925E-1,-8.137081563E-2
1.922752250E0,5.388463847E-3,-1.673349589E-1,-6.443630904E-2
