"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.715294833E0,-1.255588989E0,1.615440674E0,1.005459137E1
1.725324833E0,-1.484163666E0,1.626517639E0,9.904004517E0
1.735353833E0,-1.535806274E0,1.543141022E0,9.585167542E0
1.745383833E0,-1.527124329E0,1.400188293E0,9.312584381E0
1.755412833E0,-1.578467560E0,1.280287628E0,9.199270020E0
1.765442833E0,-1.760339355E0,1.210981750E0,9.185798035E0
1.775471833E0,-1.908830566E0,1.200054474E0,9.100924530E0
1.785501833E0,-1.976190491E0,1.186582489E0,8.995244293E0
1.795530833E0,-1.976340179E0,1.146615601E0,8.739276581E0
1.805560833E0,-1.875599670E0,1.143023071E0,8.924142151E0
1.815589833E0,-1.672921143E0,1.265468445E0,9.214837646E0
1.825619833E0,-1.563348999E0,1.339264984E0,9.288634186E0
1.835648833E0,-1.471589813E0,1.277144165E0,9.297465820E0
1.845678833E0,-1.513652344E0,1.160386963E0,9.281598816E0
1.855707833E0,-1.553768921E0,1.113983459E0,9.235644379E0
1.865737833E0,-1.487756195E0,1.151106262E0,9.289831696E0
1.875766833E0,-1.363664246E0,1.215173035E0,9.460476837E0
1.885796833E0,-1.251098328E0,1.362766113E0,9.617500305E0
1.895825833E0,-1.362915802E0,1.496288452E0,9.688752136E0
1.905855833E0,-1.534608765E0,1.552272034E0,9.651030579E0
1.915884833E0,-1.485361176E0,1.622476044E0,9.495803375E0
1.925914833E0,-1.351988525E0,1.776505737E0,9.414522400E0
1.935943833E0,-1.275497589E0,1.863175507E0,9.409582672E0
1.945973833E0,-1.163380737E0,1.879192200E0,9.486073608E0
1.956002833E0,-1.091679840E0,1.889371033E0,9.386380920E0
1.966032833E0,-1.079255676E0,1.944306793E0,9.157057800E0
1.976061833E0,-1.129251709E0,2.016157379E0,9.246421967E0
1.986091833E0,-1.142124939E0,2.082619171E0,9.432934113E0
1.996120833E0,-1.015937347E0,2.117796021E0,9.612261200E0
2.006150833E0,-9.318122864E-1,2.138602753E0,9.613009644E0
2.016179833E0,-1.120120697E0,2.129920807E0,9.464368744E0
2.026209833E0,-1.243464203E0,1.990710297E0,9.389674072E0
2.036238833E0,-1.306632843E0,1.825603638E0,9.514364777E0
2.046268833E0,-1.262474670E0,1.711540833E0,9.871821442E0
2.056297833E0,-1.262624359E0,1.661245422E0,9.886490936E0
2.066327833E0,-1.362466736E0,1.676813049E0,9.644144897E0
2.076356833E0,-1.460812225E0,1.650617523E0,9.605674896E0
2.086386833E0,-1.600621490E0,1.544488220E0,9.685608673E0
2.096415833E0,-1.570384369E0,1.463057556E0,9.497899017E0
2.106445833E0,-1.415007477E0,1.531016235E0,9.193881226E0
2.116474833E0,-1.472787323E0,1.502575378E0,9.267677765E0
2.126504833E0,-1.599274292E0,1.435365143E0,9.580527191E0
2.136533833E0,-1.556912384E0,1.433419189E0,9.672286377E0
2.146563833E0,-1.509011993E0,1.506467285E0,9.639205170E0
2.156592833E0,-1.458267517E0,1.563947754E0,9.564360809E0
2.166622833E0,-1.533111877E0,1.506018219E0,9.587712250E0
2.176651833E0,-1.537303162E0,1.493294678E0,9.876312103E0
2.186681833E0,-1.433868256E0,1.613943787E0,1.005788452E1
2.196710833E0,-1.314416656E0,1.755848694E0,1.009231293E1
2.206740833E0,-1.272204437E0,1.778302002E0,9.860445099E0
2.216769833E0,-1.411115570E0,1.672172699E0,9.480535126E0
2.226799833E0,-1.512305145E0,1.556463318E0,9.084758148E0
2.236828833E0,-1.464554443E0,1.530267792E0,8.882378998E0
2.246858833E0,-1.378333740E0,1.534159698E0,8.994346161E0
2.256887833E0,-1.265468445E0,1.579365692E0,9.222172394E0
2.266917833E0,-1.230291595E0,1.650467834E0,9.242530060E0
2.276946833E0,-1.241069183E0,1.684746552E0,9.178163910E0
2.286976833E0,-1.247505798E0,1.671873322E0,9.172924805E0
2.297005833E0,-1.271156616E0,1.675316162E0,9.269174652E0
2.307035833E0,-1.337019653E0,1.697769470E0,9.465715942E0
2.317064833E0,-1.379830627E0,1.725012817E0,9.586215363E0
2.327094833E0,-1.400637360E0,1.728755035E0,9.499096527E0
2.337123833E0,-1.384321289E0,1.661544800E0,9.410780182E0
2.347153833E0,-1.439406738E0,1.588047638E0,9.544003143E0
2.357182833E0,-1.506616974E0,1.583706665E0,9.761500854E0
2.367212833E0,-1.427731018E0,1.580712891E0,9.925559692E0
2.377241833E0,-1.268911285E0,1.588646393E0,9.931696930E0
2.387271833E0,-1.182690582E0,1.560804291E0,9.821226654E0
2.397300833E0,-1.187779999E0,1.464704132E0,9.690997467E0
2.407330833E0,-1.213077393E0,1.423839111E0,9.682764587E0
2.417359833E0,-1.150806885E0,1.446442108E0,9.821675720E0
2.427389833E0,-1.086291046E0,1.526974640E0,9.990823975E0
2.437418833E0,-1.043180695E0,1.590891724E0,1.001522324E1
2.447448833E0,-9.870474243E-1,1.624122620E0,9.813442841E0
2.457477833E0,-1.101259918E0,1.618284760E0,9.603579254E0
2.467507833E0,-1.311572571E0,1.663790131E0,9.557475128E0
2.477536833E0,-1.492995300E0,1.691781921E0,9.678573303E0
2.487566833E0,-1.559157715E0,1.714684296E0,9.743388519E0
