"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.236388542E0,4.652270302E-2,4.268568382E-2,1.337447576E-2
1.246417542E0,2.165996470E-2,2.034093142E-1,-6.381431967E-2
1.256447542E0,-1.130810194E-2,3.191898465E-1,-1.147814989E-1
1.266476542E0,-3.162003309E-2,2.325108796E-1,-1.330057681E-1
1.276506542E0,2.194602042E-2,8.350230753E-2,-1.433749497E-1
1.286535542E0,1.134668887E-1,-7.156264037E-2,-1.408609301E-1
1.296565542E0,2.297164798E-1,-1.387184411E-1,-9.161091596E-2
1.306594542E0,3.337089121E-1,-7.579194009E-2,-4.907996580E-2
1.316624542E0,3.804487884E-1,7.257695496E-2,-4.006774351E-2
1.326653542E0,3.388435543E-1,1.544228196E-1,-1.000951231E-1
1.336683542E0,2.521443665E-1,2.066356242E-1,-1.658527404E-1
1.346712542E0,1.320582032E-1,2.226686478E-1,-2.215093523E-1
1.356742542E0,-1.958506741E-2,1.394860446E-1,-2.344228178E-1
1.366771542E0,-1.961952597E-1,1.939266734E-2,-1.663457602E-1
1.376801542E0,-3.928315639E-1,-6.777399778E-2,-7.030116767E-2
1.386830542E0,-5.373570919E-1,-1.646166593E-1,-7.716258988E-4
1.396860542E0,-5.856071711E-1,-2.382786274E-1,4.622757435E-2
1.406889542E0,-5.861696005E-1,-2.906440794E-1,7.851547003E-2
1.416919542E0,-5.476025343E-1,-3.541907668E-1,1.107806489E-1
1.426948542E0,-4.912418127E-1,-3.684781194E-1,1.465674043E-1
1.436978542E0,-4.788446724E-1,-3.190437853E-1,1.599792093E-1
1.447007542E0,-5.028533340E-1,-2.881082296E-1,1.512648165E-1
1.457037542E0,-5.359946489E-1,-3.642820418E-1,1.345035583E-1
1.467066542E0,-5.670822263E-1,-5.365387201E-1,1.300137341E-1
1.477096542E0,-5.686771274E-1,-7.283307910E-1,1.183681786E-1
1.487125542E0,-5.411618948E-1,-8.441881537E-1,9.014532715E-2
