"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.212513458E0,-2.618432760E0,-9.988584518E-1,5.816769600E-1
1.222544458E0,-2.660299063E0,-6.492604613E-1,6.115635037E-1
1.232575458E0,-2.545738459E0,-5.580803156E-1,5.650666952E-1
1.242605458E0,-2.130629063E0,-6.387695670E-1,5.821929574E-1
1.252636458E0,-1.524247646E0,-7.502794862E-1,8.021898866E-1
1.262667458E0,-8.641956449E-1,-5.033013821E-1,1.062771201E0
1.272698458E0,-2.613700330E-1,5.354824290E-2,1.079186320E0
1.282728458E0,2.658317089E-1,8.100636005E-1,7.470272779E-1
1.292759458E0,7.598752379E-1,1.681046247E0,3.402615786E-1
1.302790458E0,1.258783340E0,2.564332485E0,3.692461550E-2
1.312821458E0,1.652396917E0,3.399335146E0,-1.299352199E-1
1.322851458E0,1.736028433E0,3.953631163E0,-2.763683200E-1
1.332882458E0,1.502383351E0,4.238489628E0,-4.150578976E-1
1.342913458E0,1.066013694E0,4.497724056E0,-4.297479093E-1
1.352944458E0,6.460738182E-1,4.790565968E0,-3.077650070E-1
1.362974458E0,4.165513813E-1,4.918430805E0,-2.086280286E-1
1.373005458E0,3.336174786E-1,4.331185341E0,-9.092323482E-2
1.383036458E0,3.892178833E-1,3.223626137E0,1.638353020E-1
1.393067458E0,3.943827152E-1,2.231866360E0,4.845152795E-1
1.403098458E0,3.179626167E-2,1.619518518E0,6.521999240E-1
1.413128083E0,-4.576422572E-1,1.135029197E0,7.514434457E-1
1.423159083E0,-8.491538167E-1,5.141278505E-1,8.019726872E-1
1.433190083E0,-1.004237652E0,-4.966307897E-3,1.153029203E0
1.443221083E0,-9.021683931E-1,-4.421177804E-1,1.698998570E0
1.453251083E0,-7.477617860E-1,-8.276662827E-1,2.088418484E0
1.463282083E0,-6.712473035E-1,-7.791533470E-1,2.019842863E0
1.473313083E0,-6.562833190E-1,-3.008617759E-1,1.691457629E0
1.483344083E0,-5.723987818E-1,5.395058393E-1,1.057006359E0
1.493374083E0,-4.898794293E-1,1.232762694E0,9.421498775E-1
1.503405083E0,-6.220641136E-1,1.814639449E0,1.034070969E0
1.513436083E0,-7.799942493E-1,2.441727161E0,1.021501422E0
1.523467083E0,-1.034613848E0,2.603291273E0,9.632477164E-1
1.533498083E0,-1.094812274E0,2.576045513E0,7.975584865E-1
1.543528083E0,-1.018093586E0,2.591315508E0,5.983260870E-1
1.553559083E0,-9.852874279E-1,2.770629644E0,5.336346626E-1
1.563590083E0,-8.716053367E-1,3.214516640E0,5.612497926E-1
1.573621083E0,-7.850177288E-1,3.451708555E0,5.128052831E-1
1.583651083E0,-7.480932474E-1,3.599221468E0,5.505300760E-1
1.593682083E0,-6.674542427E-1,3.528668880E0,5.886786580E-1
1.603713083E0,-6.117110848E-1,3.086005449E0,7.606363297E-1
1.613744083E0,-3.527545631E-1,2.151872635E0,9.727219939E-1
1.623774083E0,-2.972604036E-1,1.678650618E0,1.155192733E0
1.633805083E0,-4.854656756E-1,1.275801301E0,1.134488463E0
1.643836083E0,-6.252307296E-1,1.084508300E0,1.156608105E0
1.653867083E0,-6.984303594E-1,9.551231265E-1,1.247856379E0
1.663898083E0,-7.568982244E-1,1.074581861E0,1.427586794E0
1.673928083E0,-6.187753677E-1,1.075035095E0,1.582886815E0
1.683959083E0,-4.663195312E-1,1.401039124E0,1.599820614E0
1.693990083E0,-1.440602392E-1,1.223189473E0,1.479912519E0
1.704021083E0,-3.208763525E-2,1.212104082E0,1.526129484E0
1.714051083E0,-6.425393373E-2,1.205072403E0,1.525913596E0
1.724082083E0,-3.703501308E-3,1.205711603E0,1.440983772E0
1.734113083E0,3.355153203E-1,1.415174842E0,1.302363396E0
1.744144083E0,5.296904445E-1,9.468067288E-1,1.446257710E0
1.754175083E0,2.070321143E-1,6.186139584E-1,1.573946834E0
1.764205083E0,-2.154487185E-2,6.127118468E-1,1.577251792E0
1.774236083E0,-4.344197363E-2,5.443637371E-1,1.532930493E0
