"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.371078833E0,8.350235596E0,-1.568438416E0,-1.239721985E0
1.381107833E0,1.463910782E1,1.689686279E0,1.947899323E0
1.391137833E0,1.495644791E1,4.104614410E0,5.564977570E0
1.401166833E0,1.324191330E1,1.313518524E0,5.958060150E0
1.411195833E0,1.201641174E1,-2.688110046E0,8.345445557E0
1.421224833E0,1.020921982E1,-3.240611115E0,1.009680359E1
1.431253833E0,8.746162262E0,-3.508404236E0,9.238638153E0
1.441282833E0,9.827064514E0,-2.240091705E0,8.818162537E0
1.451312833E0,1.278117142E1,8.828640747E-1,8.575666809E0
1.461341833E0,1.515747986E1,4.483775940E0,7.974217529E0
1.471370833E0,1.404259827E1,2.501148834E0,6.862928467E0
1.481399833E0,1.345971039E1,1.365759888E0,7.576494598E0
1.491428833E0,1.289882675E1,1.676962738E0,8.872798920E0
1.501457833E0,1.247041763E1,2.040706329E0,8.993597717E0
1.511487833E0,1.119716537E1,1.140178986E0,9.025930481E0
1.521516833E0,8.382867737E0,-5.051994324E-1,9.483977966E0
1.531545833E0,5.876629486E0,-1.378782806E0,9.505383453E0
1.541574833E0,4.418811035E0,-1.883233795E0,9.793683929E0
1.551603833E0,3.416195984E0,-8.955876160E-1,9.556726685E0
1.561632833E0,4.574187927E0,1.624272308E0,8.485105133E0
1.571661833E0,4.494403839E0,2.634072418E0,7.335495758E0
1.581691833E0,4.583618317E0,2.463576965E0,5.806874542E0
1.591720833E0,4.613256683E0,2.440524902E0,6.791676636E0
1.601749833E0,4.571493530E0,2.096390533E0,7.415728912E0
1.611778833E0,4.011957092E0,2.146087189E0,7.715854797E0
1.621807833E0,2.337688751E0,2.053130493E0,8.267457733E0
1.631836833E0,2.556683350E0,1.250050507E0,8.344697113E0
1.641866833E0,3.951482849E0,5.019062805E-1,7.312593384E0
1.651895833E0,5.150190125E0,-2.770738220E-1,5.433700562E0
1.661924833E0,5.992787933E0,-7.432044983E-1,4.436923370E0
1.671953833E0,5.985004120E0,-8.069718933E-1,4.930596771E0
1.681982833E0,6.611900482E0,-7.421566772E-1,5.068011017E0
1.692011833E0,8.029003601E0,-3.855981445E-1,5.361400909E0
1.702041833E0,8.126900024E0,-1.100661163E0,6.190676422E0
1.712070833E0,7.489525452E0,-2.218087463E0,7.268584900E0
1.722099833E0,7.682025146E0,-3.486849060E0,7.656877441E0
1.732128833E0,8.715027008E0,-4.863835602E0,6.904392242E0
1.742157833E0,9.928703156E0,-6.079757080E0,6.261329498E0
1.752187833E0,1.054601944E1,-5.835315399E0,5.892496490E0
1.762216833E0,1.208047852E1,-4.168082428E0,4.630470886E0
1.772245833E0,1.149594406E1,-2.300565948E0,3.264710999E0
1.782274833E0,1.018931122E1,-2.587668915E0,3.639681244E0
1.792303833E0,8.870254211E0,-3.455264740E0,4.253854065E0
1.802332833E0,8.058342590E0,-4.567002869E0,4.589306488E0
1.812361833E0,7.054230652E0,-6.023923187E0,4.716242523E0
1.822391833E0,5.570665741E0,-6.593788147E0,4.464615784E0
1.832420833E0,4.156556396E0,-6.734046478E0,4.648732910E0
1.842449833E0,6.678811340E0,-5.463787994E0,6.328689423E0
1.852478833E0,7.279362488E0,-4.289779358E0,5.032983856E0
1.862507833E0,7.162455597E0,-4.015549622E0,4.950655060E0
1.872537833E0,6.911876678E0,-3.740870819E0,4.924309845E0
1.882566833E0,6.005212097E0,-4.547842712E0,6.121520233E0
1.892595833E0,5.025798798E0,-6.303092651E0,8.085136871E0
1.902624833E0,4.743336182E0,-6.753655701E0,8.618028717E0
