"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.459659529E1,5.058418445E1,8.700970549E0,1.826996518E2,2.404711666E0,4.567871960E1,4.727234898E0,3.387888318E0
9.559659123E1,5.058420283E1,8.700995722E0,1.829157294E2,2.460050090E0,4.330204975E1,4.727617546E0,3.387354332E0
9.659658945E1,5.058422159E1,8.701022848E0,1.831779077E2,2.541488039E0,4.278646972E1,4.727503152E0,3.387513982E0
9.759658444E1,5.058424144E1,8.701043734E0,1.834641952E2,2.522922474E0,3.923211287E1,4.727749509E0,3.387170148E0
9.859658146E1,5.058426183E1,8.701061748E0,1.833429672E2,2.462996796E0,3.378947497E1,4.726758935E0,3.388552346E0
9.959657812E1,5.058428508E1,8.701074073E0,1.826882310E2,2.467488699E0,2.644355085E1,4.727419379E0,3.387630891E0
1.005965743E2,5.058430763E1,8.701089128E0,1.830500695E2,2.479078184E0,2.463544460E1,4.727443672E0,3.387596989E0
1.015965706E2,5.058433132E1,8.701097538E0,1.826769181E2,2.451826801E0,1.973465260E1,4.727537482E0,3.387466072E0
1.025965686E2,5.058435435E1,8.701108494E0,1.826905360E2,2.451175527E0,1.880624813E1,4.728385268E0,3.386282591E0
1.035965652E2,5.058437834E1,8.701111087E0,1.823896681E2,2.453810281E0,1.194851133E1,4.728270916E0,3.386442260E0
1.045965627E2,5.058440286E1,8.701114243E0,1.824315120E2,2.482610483E0,8.219864408E0,4.729319420E0,3.384977822E0
1.055965608E2,5.058442670E1,8.701115418E0,1.823114881E2,2.428983578E0,5.422641664E0,4.729390039E0,3.384879155E0
1.065965550E2,5.058445065E1,8.701111361E0,1.821425708E2,2.446399362E0,1.538079584E-1,4.730797551E0,3.382911699E0
1.075965518E2,5.058447499E1,8.701108194E0,1.820942693E2,2.499047778E0,3.578066353E2,4.730722061E0,3.383017265E0
1.085965486E2,5.058449749E1,8.701097408E0,1.819596531E2,2.499212420E0,3.511082360E2,4.730519108E0,3.383301051E0
1.095965452E2,5.058452151E1,8.701086026E0,1.817735361E2,2.518824801E0,3.471223660E2,4.730354031E0,3.383531850E0
1.105965451E2,5.058454274E1,8.701073756E0,1.817160650E2,2.416465937E0,3.441338072E2,4.730802535E0,3.382904729E0
1.115965416E2,5.058456520E1,8.701060841E0,1.816771971E2,2.394477422E0,3.410371057E2,4.731286561E0,3.382227744E0
1.125965358E2,5.058458516E1,8.701044064E0,1.813821182E2,2.356044147E0,3.357344257E2,4.731204145E0,3.382343030E0
1.135965354E2,5.058460634E1,8.701023062E0,1.813123557E2,2.424784496E0,3.298382118E2,4.732066351E0,3.381136656E0
1.145965294E2,5.058462524E1,8.700999598E0,1.815318095E2,2.443738810E0,3.243713674E2,4.732257372E0,3.380869296E0
1.155965291E2,5.058464478E1,8.700976314E0,1.813181508E2,2.452300351E0,3.228637136E2,4.732254164E0,3.380873786E0
1.165965225E2,5.058466421E1,8.700949178E0,1.814008675E2,2.535854583E0,3.204639784E2,4.732386224E0,3.380688933E0
1.175965204E2,5.058468024E1,8.700919526E0,1.813283632E2,2.537704339E0,3.153189878E2,4.733204471E0,3.379543234E0
1.185965155E2,5.058469518E1,8.700890624E0,1.814890488E2,2.465199797E0,3.115755022E2,4.733048308E0,3.379761936E0
1.195965129E2,5.058470708E1,8.700856544E0,1.812827257E2,2.482998036E0,3.049723352E2,4.732884025E0,3.379991988E0
1.205965105E2,5.058471995E1,8.700822192E0,1.813022126E2,2.553168069E0,3.026632848E2,4.732742234E0,3.380190524E0
1.215965067E2,5.058472816E1,8.700787980E0,1.815314598E2,2.464897057E0,2.964996761E2,4.733093700E0,3.379698369E0
1.225965039E2,5.058473724E1,8.700751330E0,1.813465744E2,2.525867436E0,2.933464396E2,4.733501263E0,3.379127525E0
1.235965015E2,5.058474594E1,8.700717278E0,1.813466748E2,2.483025716E0,2.920319822E2,4.733659020E0,3.378906527E0
1.245964985E2,5.058475135E1,8.700679745E0,1.813615806E2,2.488450034E0,2.870400087E2,4.733460807E0,3.379184194E0
1.255964948E2,5.058475577E1,8.700645565E0,1.812576831E2,2.407596800E0,2.844428433E2,4.732869669E0,3.380012091E0
1.265964941E2,5.058475602E1,8.700605137E0,1.814828021E2,2.521413472E0,2.779723029E2,4.732381673E0,3.380695303E0
1.275964879E2,5.058475873E1,8.700570297E0,1.812654247E2,2.463197597E0,2.774644553E2,4.732363526E0,3.380720705E0
1.285964845E2,5.058475661E1,8.700532612E0,1.811079284E2,2.460030386E0,2.715053867E2,4.732305813E0,3.380801491E0
1.295964819E2,5.058475165E1,8.700501069E0,1.812786149E2,2.276944286E0,2.638267597E2,4.731772728E0,3.381547557E0
1.305964781E2,5.058474810E1,8.700463544E0,1.812061877E2,2.385665273E0,2.634314243E2,4.731495588E0,3.381935324E0
1.315964763E2,5.058474324E1,8.700430594E0,1.811804648E2,2.244547087E0,2.596330775E2,4.731305971E0,3.382200592E0
1.325980606E2,5.058473585E1,8.700396893E0,1.814472436E2,2.304688898E0,2.554563619E2,4.730491782E0,3.383339258E0
1.335980518E2,5.058472814E1,8.700361679E0,1.815075013E2,2.403309809E0,2.539745406E2,4.730224208E0,3.383713341E0
1.345980110E2,5.058471858E1,8.700329971E0,1.814693497E2,2.362119509E0,2.500734026E2,4.730027453E0,3.383988375E0
1.355979804E2,5.058470709E1,8.700300959E0,1.814680001E2,2.301738131E0,2.437108977E2,4.727554503E0,3.387442317E0
1.365979367E2,5.058469431E1,8.700270475E0,1.813528274E2,2.371901260E0,2.400086875E2,4.726355113E0,3.389115574E0
1.375978730E2,5.058468059E1,8.700242553E0,1.813139671E2,2.360464618E0,2.361616593E2,4.725201205E0,3.390724200E0
1.385978312E2,5.058466674E1,8.700215123E0,1.811197637E2,2.344074293E0,2.343325356E2,4.724858825E0,3.391201279E0
1.395977848E2,5.058464918E1,8.700187532E0,1.809997394E2,2.459244774E0,2.294478470E2,4.724389900E0,3.391854523E0
1.405977215E2,5.058463169E1,8.700165136E0,1.811652583E2,2.393538348E0,2.257680753E2,4.723457857E0,3.393152355E0
1.415976790E2,5.058461553E1,8.700141599E0,1.810138153E2,2.356067318E0,2.245989912E2,4.723161491E0,3.393564876E0
1.425976348E2,5.058459886E1,8.700117628E0,1.809674199E2,2.360802481E0,2.227810121E2,4.723927842E0,3.392498014E0
1.435975753E2,5.058458236E1,8.700096744E0,1.811515434E2,2.275193277E0,2.209736601E2,4.722824505E0,3.394033843E0
1.445975351E2,5.058456735E1,8.700070722E0,1.810863827E2,2.332896648E0,2.243205265E2,4.721873709E0,3.395356492E0
1.455974970E2,5.058454818E1,8.700043560E0,1.811937749E2,2.489572784E0,2.242127782E2,4.722453805E0,3.394549615E0
1.465974420E2,5.058453184E1,8.700019157E0,1.811562285E2,2.405700139E0,2.245800217E2,4.721871853E0,3.395359073E0
1.475973896E2,5.058451356E1,8.699991152E0,1.813740895E2,2.514488259E0,2.250816081E2,4.721850160E0,3.395389242E0
1.485973413E2,5.058449651E1,8.699968132E0,1.814028701E2,2.411251385E0,2.235678329E2,4.721298017E0,3.396156956E0
1.495972943E2,5.058448043E1,8.699941244E0,1.813810232E2,2.404646113E0,2.246829995E2,4.721459252E0,3.395932798E0
1.505972503E2,5.058446253E1,8.699912059E0,1.814106968E2,2.477477972E0,2.252568531E2,4.720454763E0,3.397328930E0
1.515972066E2,5.058444446E1,8.699888900E0,1.815761239E2,2.452721959E0,2.226763184E2,4.720377404E0,3.397436416E0
1.525971662E2,5.058442770E1,8.699867043E0,1.816612356E2,2.337834520E0,2.212205194E2,4.718890918E0,3.399500777E0
1.535971283E2,5.058440831E1,8.699841284E0,1.816426187E2,2.485116227E0,2.211125541E2,4.719328696E0,3.398893010E0
1.545970911E2,5.058439348E1,8.699816024E0,1.817434967E2,2.371692967E0,2.240772614E2,4.718587745E0,3.399921577E0
1.555970571E2,5.058437791E1,8.699787524E0,1.816631988E2,2.366531764E0,2.271885545E2,4.718962410E0,3.399401536E0
