"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.327062917E0,-1.127042100E-1,-7.464398444E-2,1.204108819E-1
1.337092917E0,-1.221922860E-1,-6.579052657E-2,7.822024077E-2
1.347122917E0,-1.786297262E-1,-6.458229385E-3,3.204369172E-2
1.357152917E0,-2.498378903E-1,3.750392795E-2,2.742509916E-2
1.367182917E0,-3.124813139E-1,6.888315827E-2,5.883948505E-2
1.377212917E0,-3.367123604E-1,9.662723541E-2,1.211497858E-1
1.387241917E0,-3.111646473E-1,1.277161837E-1,2.183288038E-1
1.397271917E0,-2.402810305E-1,1.126214638E-1,2.435046136E-1
1.407301917E0,-1.416644454E-1,4.608557746E-2,2.692115903E-1
1.417331917E0,-5.814225599E-2,-1.745923236E-2,3.303241134E-1
1.427361917E0,-2.196374349E-2,-6.298996508E-2,3.774815202E-1
1.437391917E0,-4.131171107E-2,-7.599457353E-2,3.903569579E-1
1.447421917E0,-8.948456496E-2,-5.317047983E-2,3.876471817E-1
1.457451917E0,-1.389710605E-1,-1.937100478E-2,3.622215390E-1
1.467481917E0,-1.735303700E-1,8.621748537E-3,3.263711035E-1
1.477511917E0,-1.773384064E-1,2.242282405E-2,2.829007208E-1
1.487541917E0,-1.649800092E-1,3.044053912E-2,2.408305258E-1
1.497571917E0,-1.207137108E-1,6.339257956E-2,1.787280440E-1
1.507601917E0,-8.019477874E-2,8.326935023E-2,1.295636892E-1
1.517631917E0,-6.160096079E-2,1.059918478E-1,8.881933242E-2
1.527661917E0,-6.691928953E-2,1.106092334E-1,5.581690371E-2
1.537691917E0,-7.434731722E-2,6.241631135E-2,-9.652830660E-3
1.547721917E0,-4.058961198E-2,3.881564736E-2,-2.644326352E-2
1.557751917E0,-9.952078015E-2,3.034201823E-2,2.868985757E-4
1.567781917E0,-1.158235893E-1,1.812396944E-2,4.368204251E-2
1.577811917E0,-9.247184545E-2,7.112655789E-3,4.146378487E-2
1.587841917E0,-6.587032974E-2,1.059580408E-2,5.710133165E-2
1.597871917E0,-5.459070206E-2,3.999674320E-2,7.464605570E-2
1.607901917E0,-4.578442872E-2,7.388573885E-2,7.970686257E-2
1.617931917E0,-1.415633783E-2,9.105052799E-2,7.248339802E-2
1.627960917E0,4.333722405E-3,8.495588601E-2,6.121343747E-2
1.637990917E0,2.733289264E-3,5.722324923E-2,4.456850886E-2
1.648020917E0,-8.077546954E-3,1.344993245E-2,3.833804280E-2
1.658050917E0,-1.813345216E-2,-2.359498851E-2,4.090215638E-2
1.668080917E0,-2.794107422E-2,-3.283535689E-2,4.036126658E-2
1.678110917E0,-4.428959638E-2,-2.204825357E-2,5.202330649E-2
1.688140917E0,-5.883791298E-2,-1.479859650E-2,6.035047770E-2
1.698170917E0,-5.017495155E-2,-1.561019383E-2,6.759327650E-2
1.708200917E0,-3.059752285E-2,-2.430647984E-2,6.953737885E-2
1.718230917E0,-2.808848955E-2,-1.499917917E-2,6.050897390E-2
1.728260917E0,-2.966614626E-2,5.579065997E-3,6.214575469E-2
1.738290917E0,-5.042635649E-2,4.087758064E-2,7.522722334E-2
1.748320917E0,-9.288007021E-2,8.514810354E-2,8.010933548E-2
1.758350917E0,-1.295336336E-1,1.328330040E-1,7.323988527E-2
1.768380917E0,-1.475275457E-1,1.536964774E-1,6.077149138E-2
1.778410917E0,-1.449930817E-1,1.517985165E-1,4.426052049E-2
1.788440917E0,-1.343926340E-1,1.325505227E-1,2.749672160E-2
1.798470917E0,-1.025879458E-1,9.483179450E-2,2.085635439E-2
1.808500917E0,-6.773196161E-2,5.345186219E-2,1.470525190E-2
1.818530917E0,-3.008461744E-2,1.826639473E-2,1.306097955E-2
1.828560917E0,-4.287642427E-3,6.280838512E-3,6.730380468E-3
1.838590917E0,3.720625304E-3,6.433246657E-3,7.679997943E-4
1.848620917E0,9.567596018E-3,7.844455540E-3,-2.215273213E-3
1.858650917E0,5.813817494E-3,1.307639666E-2,-1.342939446E-3
1.868680917E0,-1.136357151E-2,1.429932192E-2,-2.321651205E-3
1.878710917E0,-3.005691618E-2,4.468907602E-3,9.293281473E-4
1.888740917E0,-5.014780164E-2,-1.857697498E-3,2.014033496E-3
1.898770917E0,-6.606481224E-2,-1.226938143E-2,-3.041076474E-3
1.908800917E0,-7.138819993E-2,-1.433120109E-2,-2.406977816E-3
1.918830917E0,-6.883747876E-2,-1.415970083E-2,-3.318163101E-3
1.928859917E0,-4.992450401E-2,-8.863738738E-3,-8.945954964E-3
1.938889917E0,-4.038599133E-2,3.547902219E-3,-8.393977769E-3
1.948919917E0,-4.378392175E-2,8.450249210E-3,-5.576087162E-3
1.958949917E0,-5.387020856E-2,6.320039276E-3,-1.133365324E-3
1.968979917E0,-5.979121476E-2,3.995099571E-3,-1.115788473E-3
1.979009917E0,-6.025707722E-2,6.693417672E-3,-1.605950296E-3
