"Time (s)","X (hPa)"
9.707450579E1,9.733480835E2
9.807549179E1,9.733269501E2
9.907565779E1,9.733184052E2
1.000762338E2,9.733123779E2
1.010768088E2,9.732959747E2
1.020773918E2,9.732811737E2
1.030779678E2,9.732756805E2
1.040785388E2,9.732731628E2
1.050791168E2,9.732394409E2
1.060796968E2,9.732196045E2
1.070802658E2,9.732054138E2
1.080808468E2,9.731789398E2
1.090814208E2,9.731480408E2
1.100820068E2,9.731327057E2
1.110825798E2,9.731266785E2
1.120831498E2,9.731117249E2
1.130837258E2,9.730768585E2
1.140842988E2,9.730690765E2
1.150848788E2,9.730657959E2
1.160854558E2,9.730487823E2
1.170860288E2,9.730426788E2
1.180869988E2,9.730426788E2
1.190871828E2,9.730426788E2
1.200877618E2,9.730414581E2
1.210883348E2,9.730414581E2
1.220889208E2,9.730483246E2
1.230894948E2,9.730543518E2
1.240900688E2,9.730597687E2
1.250906418E2,9.730597687E2
1.260912178E2,9.730547333E2
1.270917928E2,9.730316162E2
1.280923688E2,9.730252075E2
1.290929518E2,9.729866028E2
1.300935268E2,9.729684448E2
1.310940978E2,9.729586029E2
1.320946778E2,9.729483795E2
1.330955728E2,9.729166412E2
1.340958248E2,9.729058075E2
1.350964028E2,9.728887177E2
1.360969798E2,9.728512573E2
1.370975598E2,9.728186798E2
1.380981338E2,9.728018951E2
1.390987118E2,9.727828217E2
1.400992858E2,9.727510071E2
1.410998598E2,9.727349091E2
1.421004348E2,9.727342224E2
1.431010138E2,9.727308655E2
1.441015868E2,9.727107239E2
1.451021588E2,9.726972961E2
1.461027448E2,9.726963043E2
1.471033188E2,9.726779938E2
1.481038948E2,9.726378632E2
1.491044708E2,9.726203156E2
1.501050448E2,9.726091003E2
1.511056238E2,9.725843048E2
1.521061968E2,9.725511169E2
1.531067758E2,9.725510406E2
1.541073538E2,9.725458527E2
1.551079288E2,9.725326538E2
1.561087058E2,9.725050354E2
1.571090798E2,9.724923706E2
1.581096598E2,9.724770355E2
