id,Run3,distance,angle,Z_1
,Run3,184,210.963756531751,166.530014038086
,Run3,185,210.963756531751,166.541000366211
,Run3,186,210.963756531751,166.517013549805
,Run3,187,210.963756531751,166.517013549805
,Run3,188,210.963756531751,166.495010375977
,Run3,189,210.963756531751,166.464004516602
,Run3,190,210.963756531751,166.427001953125
,Run3,191,210.963756531751,166.408004760742
,Run3,192,210.963756531751,166.355010986328
,Run3,193,210.963756531751,166.323013305664
,Run3,194,210.963756531751,166.331008911133
,Run3,195,210.963756531751,166.292007446289
,Run3,196,210.963756531751,166.280014038086
,Run3,197,210.963756531751,166.222015380859
,Run3,198,210.963756531751,166.191009521484
,Run3,199,210.963756531751,166.155014038086
,Run3,200,210.963756531751,166.107009887695
,Run3,201,210.963756531751,166.107009887695
,Run3,202,210.963756531751,166.056015014648
,Run3,203,210.963756531751,166.033004760742
,Run3,204,210.963756531751,165.976013183594
,Run3,205,210.963756531751,165.933013916016
,Run3,206,210.963756531751,165.891006469727
,Run3,207,210.963756531751,165.856002807617
,Run3,208,210.963756531751,165.859008789062
,Run3,209,210.963756531751,165.816009521484
,Run3,210,210.963756531751,165.746002197266
,Run3,211,215.53767779244,165.699005126953
,Run3,212,215.53767779244,165.636001586914
,Run3,213,215.53767779244,165.567001342773
,Run3,214,215.53767779244,165.567001342773
,Run3,215,215.53767779244,165.516006469727
,Run3,216,215.53767779244,165.477005004883
,Run3,217,215.53767779244,165.393005371094
,Run3,218,215.53767779244,165.341003417969
,Run3,219,215.53767779244,165.28401184082
,Run3,220,215.53767779244,165.309005737305
,Run3,221,215.53767779244,165.245010375977
,Run3,222,215.53767779244,165.176010131836
,Run3,223,215.53767779244,165.120010375977
,Run3,224,215.53767779244,165.067001342773
,Run3,225,215.53767779244,165.064010620117
,Run3,226,215.53767779244,165.019012451172
,Run3,227,215.53767779244,164.942001342773
,Run3,228,215.53767779244,164.891006469727
,Run3,229,215.53767779244,164.834014892578
,Run3,230,215.53767779244,164.834014892578
,Run3,231,215.53767779244,164.769012451172
,Run3,232,215.53767779244,164.693008422852
,Run3,233,215.53767779244,164.664001464844
,Run3,234,215.53767779244,164.61100769043
,Run3,235,215.53767779244,164.564010620117
,Run3,236,215.53767779244,164.535003662109
,Run3,237,215.53767779244,164.471008300781
,Run3,238,215.53767779244,164.416000366211
,Run3,239,215.53767779244,164.302001953125
,Run3,240,215.53767779244,164.28401184082
,Run3,241,215.53767779244,164.266006469727
,Run3,242,215.53767779244,164.184005737305
,Run3,243,219.805571092363,164.115005493164
,Run3,244,219.805571092363,163.96501159668
,Run3,245,219.805571092363,163.942001342773
,Run3,246,219.805571092363,163.910003662109
,Run3,247,219.805571092363,163.859008789062
,Run3,248,219.805571092363,163.849014282227
,Run3,249,219.805571092363,163.814010620117
,Run3,250,219.805571092363,163.765014648438
,Run3,251,219.805571092363,163.760009765625
,Run3,252,219.805571092363,163.716003417969
,Run3,253,219.805571092363,163.675003051758
,Run3,254,219.805571092363,163.635009765625
,Run3,255,219.805571092363,163.582000732422
,Run3,256,219.805571092363,163.556015014648
,Run3,257,219.805571092363,163.560012817383
,Run3,258,219.805571092363,163.618011474609
,Run3,259,219.805571092363,163.618011474609
,Run3,260,219.805571092363,163.586013793945
,Run3,261,219.805571092363,163.579010009766
,Run3,262,219.805571092363,163.512008666992
,Run3,263,219.805571092363,163.536010742188
,Run3,264,219.805571092363,163.469009399414
,Run3,265,219.805571092363,163.414001464844
,Run3,266,219.805571092363,163.355010986328
,Run3,267,219.805571092363,163.355010986328
,Run3,268,219.805571092363,163.309005737305
,Run3,269,219.805571092363,163.292007446289
,Run3,270,219.805571092363,163.228012084961
,Run3,271,219.805571092363,163.195007324219
,Run3,272,219.805571092363,163.212005615234
,Run3,273,219.805571092363,163.147003173828
,Run3,274,219.805571092363,163.136001586914
,Run3,275,219.805571092363,163.06201171875
,Run3,276,219.805571092363,163.06201171875
,Run3,277,219.805571092363,163.057006835938
,Run3,278,219.805571092363,163.010009765625
,Run3,279,219.805571092363,162.957000732422
,Run3,280,219.805571092363,162.98600769043
,Run3,281,219.805571092363,162.931015014648
,Run3,282,219.805571092363,162.887008666992
,Run3,283,219.805571092363,162.830001831055
,Run3,284,219.805571092363,162.863006591797
,Run3,285,219.805571092363,162.813003540039
,Run3,286,219.805571092363,162.746002197266
,Run3,287,219.805571092363,162.692001342773
,Run3,288,219.805571092363,162.640014648438
,Run3,289,219.805571092363,162.645004272461
,Run3,290,219.805571092363,162.593002319336
,Run3,291,219.805571092363,162.539001464844
,Run3,292,219.805571092363,162.505004882812
,Run3,293,219.805571092363,162.539001464844
,Run3,294,219.805571092363,162.508010864258
,Run3,295,219.805571092363,162.477005004883
,Run3,296,219.805571092363,162.456008911133
,Run3,297,219.805571092363,162.43701171875
,Run3,298,219.805571092363,162.43701171875
,Run3,299,219.805571092363,162.388000488281
,Run3,300,219.805571092363,162.372009277344
,Run3,301,219.805571092363,162.299011230469
,Run3,302,219.805571092363,162.310012817383
,Run3,303,219.805571092363,162.263000488281
,Run3,304,219.805571092363,162.20100402832
,Run3,305,219.805571092363,162.162002563477
,Run3,306,219.805571092363,162.162002563477
,Run3,307,219.805571092363,162.135009765625
,Run3,308,219.805571092363,162.112014770508
,Run3,309,219.805571092363,162.09700012207
,Run3,310,219.805571092363,162.135009765625
,Run3,311,219.805571092363,162.074005126953
,Run3,312,219.805571092363,162.011001586914
,Run3,313,219.805571092363,161.989013671875
,Run3,314,219.805571092363,161.993011474609
,Run3,315,219.805571092363,161.993011474609
,Run3,316,219.805571092363,161.957000732422
,Run3,317,219.805571092363,161.898010253906
,Run3,318,219.805571092363,161.876007080078
,Run3,319,219.805571092363,161.836013793945
,Run3,320,219.805571092363,161.860000610352
,Run3,321,219.805571092363,161.84001159668
,Run3,322,205.769327624306,161.789001464844
,Run3,323,205.769327624306,161.788009643555
,Run3,324,205.769327624306,161.732009887695
,Run3,325,205.769327624306,161.788009643555
,Run3,326,205.769327624306,161.734008789062
,Run3,327,205.769327624306,161.70100402832
,Run3,328,205.769327624306,161.667007446289
,Run3,329,205.769327624306,161.639007568359
,Run3,330,205.769327624306,161.592010498047
,Run3,331,205.769327624306,161.551010131836
,Run3,332,205.769327624306,161.497009277344
,Run3,333,205.769327624306,161.440002441406
,Run3,334,205.769327624306,161.375015258789
,Run3,335,205.769327624306,161.321014404297
,Run3,336,205.769327624306,161.319000244141
,Run3,337,205.769327624306,161.279006958008
,Run3,338,205.769327624306,161.230010986328
,Run3,339,205.769327624306,161.235000610352
,Run3,340,205.769327624306,161.186004638672
,Run3,341,205.769327624306,161.144012451172
,Run3,342,205.769327624306,161.072006225586
,Run3,343,205.769327624306,161.079010009766
,Run3,344,205.769327624306,161.000015258789
,Run3,345,205.769327624306,160.952011108398
,Run3,346,205.769327624306,161.014007568359
,Run3,347,205.769327624306,160.956008911133
,Run3,348,205.769327624306,160.931015014648
,Run3,349,205.769327624306,160.926010131836
,Run3,350,205.769327624306,160.933013916016
