"Time (s)","X (hPa)"
7.421715871E1,9.799275970E2
7.528383871E1,9.799649811E2
7.635053171E1,9.799832916E2
7.741723671E1,9.799832916E2
7.848394871E1,9.799745941E2
7.955066571E1,9.799467468E2
8.061732471E1,9.799238586E2
8.168401671E1,9.799076080E2
8.275066071E1,9.798922729E2
8.381741971E1,9.798693848E2
8.488413171E1,9.798612976E2
8.595087871E1,9.798320007E2
8.701761071E1,9.798146057E2
8.808434071E1,9.797856140E2
8.915108171E1,9.797837830E2
9.021774671E1,9.797748566E2
9.128440771E1,9.797711182E2
9.235107171E1,9.797711182E2
9.341771071E1,9.797701263E2
9.448432171E1,9.797660065E2
9.555096371E1,9.797576904E2
9.661762971E1,9.797541809E2
9.768430171E1,9.797545624E2
9.875100371E1,9.797545624E2
9.981769171E1,9.797588348E2
1.008843897E2,9.797753906E2
1.019510417E2,9.797789764E2
1.030177107E2,9.798063660E2
1.040843307E2,9.798291779E2
1.051510247E2,9.798442841E2
1.062176887E2,9.798469543E2
1.072843377E2,9.798469543E2
1.083509467E2,9.798434448E2
1.094176077E2,9.798220062E2
1.104842187E2,9.798097229E2
1.115508537E2,9.798028564E2
1.126175287E2,9.798004150E2
1.136842077E2,9.797964478E2
1.147508827E2,9.797964478E2
1.158174657E2,9.798014832E2
1.168840737E2,9.798069000E2
1.179507077E2,9.798075104E2
1.190173407E2,9.798073578E2
1.200839427E2,9.798073578E2
1.211505517E2,9.798029327E2
1.222171087E2,9.797968292E2
1.232837107E2,9.797951508E2
1.243503107E2,9.797951508E2
1.254169307E2,9.797962952E2
1.264834897E2,9.798008728E2
1.275500777E2,9.798110962E2
1.286166767E2,9.798239136E2
1.296832887E2,9.798364258E2
1.307498117E2,9.798431396E2
1.318164397E2,9.798431396E2
1.328830507E2,9.798371887E2
1.339496837E2,9.798287964E2
1.350163697E2,9.798173523E2
1.360830447E2,9.798105621E2
1.371497207E2,9.798063660E2
1.382162977E2,9.798044586E2
1.392829017E2,9.798030090E2
1.403495027E2,9.798024750E2
1.414161027E2,9.798012543E2
1.424826797E2,9.798000336E2
1.435493347E2,9.797998810E2
1.446159837E2,9.797998810E2
1.456825807E2,9.797993469E2
1.467491547E2,9.797991943E2
1.478157327E2,9.797986603E2
1.488823417E2,9.797988892E2
1.499489247E2,9.797986603E2
1.510155427E2,9.797982025E2
1.520821407E2,9.797982025E2
1.531487157E2,9.797982025E2
1.542152667E2,9.797985077E2
1.552818037E2,9.797983551E2
1.563483607E2,9.797986603E2
1.574149507E2,9.797983551E2
1.584816037E2,9.797986603E2
1.595481477E2,9.797982025E2
1.606146347E2,9.797972870E2
1.616811877E2,9.797964478E2
1.627477607E2,9.797956085E2
1.638142837E2,9.797946167E2
1.648808347E2,9.797945404E2
1.659473687E2,9.797946167E2
1.670139017E2,9.797968292E2
1.680804907E2,9.797972870E2
1.691470527E2,9.797986603E2
1.702136177E2,9.797991943E2
1.712802167E2,9.798007965E2
1.723468097E2,9.798007965E2
1.734134397E2,9.798006439E2
1.744800287E2,9.798006439E2
1.755466787E2,9.798006439E2
1.766133877E2,9.798000336E2
1.776800487E2,9.797984314E2
1.787466647E2,9.797983551E2
1.798133317E2,9.797969055E2
1.808799457E2,9.797956085E2
1.819465867E2,9.797915649E2
1.830131997E2,9.797893524E2
1.840798567E2,9.797868347E2
1.851464957E2,9.797839355E2
1.862131267E2,9.797808838E2
1.872797437E2,9.797760010E2
1.883463597E2,9.797757721E2
1.894130017E2,9.797747040E2
1.904797487E2,9.797745514E2
1.915464347E2,9.797714996E2
1.926131187E2,9.797711945E2
1.936798227E2,9.797673035E2
1.947464727E2,9.797592163E2
1.958131737E2,9.797511292E2
1.968798637E2,9.797431946E2
1.979464607E2,9.797391510E2
1.990131187E2,9.797238159E2
2.000797807E2,9.797195435E2
2.011464347E2,9.797116089E2
2.022131277E2,9.797071838E2
2.032797997E2,9.797069550E2
2.043464027E2,9.797069550E2
2.054129617E2,9.797150421E2
2.064795417E2,9.797171783E2
2.075460977E2,9.797406006E2
2.086126537E2,9.797681427E2
2.096792007E2,9.798099518E2
2.107458057E2,9.798170471E2
2.118124707E2,9.798385620E2
2.128790667E2,9.798385620E2
2.139457007E2,9.798342133E2
2.150123557E2,9.798174286E2
2.160789547E2,9.798110199E2
2.171456687E2,9.798064423E2
2.182123077E2,9.797834778E2
2.192789277E2,9.797828674E2
2.203455187E2,9.797772217E2
2.214121307E2,9.797772217E2
2.224787867E2,9.797847748E2
2.235454677E2,9.797848511E2
2.246122077E2,9.797879028E2
2.256789467E2,9.797879028E2
2.267456477E2,9.797839355E2
2.278123637E2,9.797826385E2
2.288789737E2,9.797806549E2
2.299456587E2,9.797778320E2
2.310122777E2,9.797806549E2
2.320789377E2,9.797839355E2
2.331456207E2,9.797839355E2
2.342122437E2,9.797795868E2
2.352789327E2,9.797794342E2
2.363455687E2,9.797728729E2
2.374121887E2,9.797725677E2
2.384788107E2,9.797696686E2
2.395454947E2,9.797696686E2
2.406120877E2,9.797727966E2
2.416787757E2,9.797774506E2
2.427453807E2,9.797727966E2
2.438119437E2,9.797730255E2
2.448785097E2,9.797695160E2
2.459450827E2,9.797596741E2
2.470116687E2,9.797596741E2
2.480782857E2,9.797541046E2
2.491449277E2,9.797643280E2
2.502115937E2,9.797602844E2
2.512781727E2,9.797657776E2
2.523447477E2,9.797602844E2
2.534113767E2,9.797642517E2
2.544780077E2,9.797642517E2
2.555446617E2,9.797756195E2
2.566113297E2,9.797850800E2
2.576780207E2,9.797939301E2
2.587447037E2,9.797964478E2
2.598113437E2,9.797964478E2
2.608779717E2,9.797881317E2
2.619446837E2,9.797881317E2
2.630112997E2,9.797910309E2
2.640778917E2,9.797911072E2
2.651444907E2,9.797936249E2
2.662111387E2,9.797940063E2
2.672777847E2,9.797936249E2
2.683444577E2,9.797903442E2
2.694111637E2,9.797856140E2
2.704778777E2,9.797829437E2
2.715446027E2,9.797784424E2
2.726112767E2,9.797743988E2
2.736779237E2,9.797742462E2
2.747445517E2,9.797742462E2
2.758111637E2,9.797764587E2
2.768777497E2,9.797784424E2
2.779443557E2,9.797859192E2
2.790110097E2,9.797877502E2
2.800775747E2,9.797891998E2
2.811442007E2,9.797931671E2
2.822107487E2,9.797934723E2
2.832773417E2,9.797967529E2
2.843439527E2,9.797973633E2
2.854104937E2,9.797994995E2
2.864770457E2,9.797994995E2
2.875436337E2,9.797982025E2
2.886101817E2,9.797982025E2
2.896767487E2,9.797982788E2
2.907433587E2,9.797991943E2
2.918099727E2,9.797999573E2
2.928765397E2,9.798040009E2
2.939431197E2,9.798063660E2
2.950097057E2,9.798087311E2
2.960763007E2,9.798111725E2
2.971429177E2,9.798115540E2
2.982094867E2,9.798115540E2
2.992761107E2,9.798103333E2
3.003426697E2,9.798061371E2
3.014091887E2,9.798028564E2
3.024757297E2,9.797995758E2
3.035422397E2,9.797973633E2
3.046088577E2,9.797964478E2
3.056754187E2,9.797964478E2
3.067419527E2,9.797967529E2
3.078085537E2,9.797967529E2
3.088750787E2,9.797957611E2
3.099415687E2,9.797956848E2
3.110081057E2,9.797957611E2
3.120746907E2,9.797954559E2
3.131412487E2,9.797962189E2
3.142077757E2,9.797961426E2
3.152743587E2,9.797961426E2
3.163408607E2,9.797956085E2
3.174073727E2,9.797952271E2
3.184738807E2,9.797928619E2
