"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.845353357E2,-2.768499756E1,-3.548699951E1,1.785650635E1
1.845453597E2,-2.838128662E1,-3.517160034E1,1.808169556E1
1.845553837E2,-2.907305908E1,-3.419714355E1,1.758226013E1
1.845654087E2,-2.986712646E1,-3.348580933E1,1.788575745E1
1.845754327E2,-2.998025513E1,-3.247119141E1,1.836491394E1
1.845854577E2,-2.999320984E1,-3.172238159E1,1.957164001E1
1.845954817E2,-2.986993408E1,-3.119787598E1,2.066114807E1
1.846055052E2,-2.953138733E1,-3.065948486E1,2.213063049E1
1.846155292E2,-2.918769836E1,-3.027215576E1,2.322151184E1
1.846255542E2,-2.905326843E1,-3.005758667E1,2.413897705E1
1.846355782E2,-2.902705383E1,-2.992614746E1,2.442837524E1
1.846456032E2,-2.922772217E1,-2.953842163E1,2.439370728E1
1.846556272E2,-2.957717896E1,-2.953948975E1,2.403959656E1
1.846656512E2,-3.005895996E1,-2.925158691E1,2.399060059E1
1.846756762E2,-3.058288574E1,-2.922711182E1,2.360444641E1
1.846857002E2,-3.113917542E1,-2.891824341E1,2.353111267E1
1.846957252E2,-3.157081604E1,-2.889828491E1,2.268031311E1
1.847057492E2,-3.211122131E1,-2.869342041E1,2.238131714E1
1.847157742E2,-3.248901367E1,-2.890148926E1,2.144146729E1
1.847257982E2,-3.258158875E1,-2.897341919E1,2.146002197E1
1.847358232E2,-3.254988098E1,-2.905645752E1,2.090785217E1
1.847458472E2,-3.246578979E1,-2.914785767E1,2.104138184E1
1.847558722E2,-3.224658203E1,-2.940747070E1,2.095487976E1
1.847658962E2,-3.189033508E1,-2.947558594E1,2.155197144E1
1.847759202E2,-3.166418457E1,-2.973852539E1,2.163024902E1
1.847859452E2,-3.129562378E1,-2.987445068E1,2.211883545E1
1.847959692E2,-3.103170776E1,-2.997796631E1,2.236286926E1
1.848059942E2,-3.063456726E1,-3.017266846E1,2.273185730E1
1.848160182E2,-3.041354370E1,-3.045532227E1,2.282998657E1
1.848260432E2,-3.035192871E1,-3.079885864E1,2.221702576E1
1.848360672E2,-3.007191467E1,-3.115155029E1,2.237414551E1
1.848460922E2,-2.994761658E1,-3.140863037E1,2.207621765E1
1.848561162E2,-2.980844116E1,-3.169808960E1,2.223265076E1
1.848661412E2,-2.974433899E1,-3.191921997E1,2.252275085E1
1.848761652E2,-2.956930542E1,-3.223483276E1,2.260491943E1
1.848861892E2,-2.941130066E1,-3.243768311E1,2.257809448E1
1.848962142E2,-2.933886719E1,-3.236178589E1,2.254512024E1
1.849062382E2,-2.957443237E1,-3.245388794E1,2.244555664E1
1.849162632E2,-2.976562500E1,-3.251126099E1,2.207240295E1
1.849262872E2,-2.987553406E1,-3.272769165E1,2.202899170E1
1.849363122E2,-2.999098206E1,-3.282720947E1,2.188887024E1
1.849463362E2,-2.970123291E1,-3.298733521E1,2.178723145E1
1.849563612E2,-2.919456482E1,-3.312030029E1,2.156372070E1
1.849663852E2,-2.879049683E1,-3.334332275E1,2.198930359E1
1.849764092E2,-2.809443665E1,-3.354815674E1,2.213577271E1
1.849864342E2,-2.760879517E1,-3.359054565E1,2.270025635E1
1.849964582E2,-2.715841675E1,-3.366162109E1,2.290376282E1
1.850064832E2,-2.712176514E1,-3.360748291E1,2.332333374E1
1.850165072E2,-2.689143372E1,-3.368472290E1,2.342004395E1
1.850265322E2,-2.668095398E1,-3.377438354E1,2.350747681E1
1.850365562E2,-2.633305359E1,-3.388122559E1,2.352647400E1
1.850465812E2,-2.585278320E1,-3.403747559E1,2.374914551E1
1.850566052E2,-2.509397888E1,-3.431118774E1,2.400994873E1
1.850666302E2,-2.450740051E1,-3.466882324E1,2.421701050E1
1.850766542E2,-2.394805908E1,-3.511087036E1,2.425682068E1
1.850866782E2,-2.324203491E1,-3.545935059E1,2.440560913E1
1.850967032E2,-2.264048767E1,-3.583264160E1,2.434654236E1
1.851067272E2,-2.210983276E1,-3.629724121E1,2.415615845E1
1.851167522E2,-2.150622559E1,-3.683773804E1,2.378218079E1
1.851267762E2,-2.101737976E1,-3.722338867E1,2.378645325E1
1.851368012E2,-2.053681946E1,-3.740756226E1,2.391574097E1
1.851468252E2,-2.004484558E1,-3.758035278E1,2.419149780E1
1.851568502E2,-1.988633728E1,-3.759722900E1,2.416958618E1
1.851668742E2,-1.965063477E1,-3.748315430E1,2.452702332E1
1.851768992E2,-1.962754822E1,-3.758880615E1,2.453558350E1
1.851869232E2,-1.957379150E1,-3.750991821E1,2.451339722E1
1.851969472E2,-1.965196228E1,-3.742727661E1,2.435374451E1
1.852069722E2,-1.978617859E1,-3.737664795E1,2.443345642E1
1.852169962E2,-2.004750061E1,-3.721438599E1,2.402061462E1
1.852270212E2,-2.033016968E1,-3.718237305E1,2.383695984E1
1.852370452E2,-2.065304565E1,-3.699234009E1,2.352984619E1
1.852470702E2,-2.101942444E1,-3.682235718E1,2.352525330E1
1.852570942E2,-2.163728333E1,-3.652459717E1,2.346272278E1
1.852671192E2,-2.205352783E1,-3.605761719E1,2.372178650E1
1.852771432E2,-2.251675415E1,-3.554333496E1,2.348956299E1
1.852871672E2,-2.310096741E1,-3.499563599E1,2.385993958E1
1.852971922E2,-2.383036804E1,-3.453250122E1,2.356027222E1
1.853072162E2,-2.457624817E1,-3.365051270E1,2.400112915E1
1.853172412E2,-2.536427307E1,-3.294223022E1,2.390408325E1
1.853272652E2,-2.613969421E1,-3.184005737E1,2.437443542E1
1.853372902E2,-2.692485046E1,-3.086416626E1,2.446977234E1
1.853473142E2,-2.730671692E1,-2.964688110E1,2.534960938E1
1.853573392E2,-2.754156494E1,-2.871084595E1,2.604615784E1
1.853673632E2,-2.788291931E1,-2.735684204E1,2.725018311E1
1.853773882E2,-2.809165955E1,-2.710641479E1,2.755635071E1
1.853874122E2,-2.843333435E1,-2.683218384E1,2.768020630E1
1.853974362E2,-2.861953735E1,-2.649468994E1,2.762184143E1
1.854074612E2,-2.917169189E1,-2.635610962E1,2.702160645E1
1.854174852E2,-2.947731018E1,-2.622006226E1,2.705534363E1
1.854275102E2,-2.992323303E1,-2.626086426E1,2.692962646E1
1.854375342E2,-3.010823059E1,-2.597528076E1,2.682241821E1
1.854475592E2,-3.054785156E1,-2.604812622E1,2.654502869E1
1.854575832E2,-3.074224854E1,-2.606851196E1,2.639613342E1
1.854676082E2,-3.091828918E1,-2.614370728E1,2.594580078E1
1.854776322E2,-3.111344910E1,-2.616296387E1,2.570336914E1
1.854876562E2,-3.122488403E1,-2.636489868E1,2.542121887E1
1.854976812E2,-3.109701538E1,-2.636337280E1,2.543161011E1
1.855077052E2,-3.086500549E1,-2.672003174E1,2.542655945E1
1.855177302E2,-3.047259521E1,-2.695001221E1,2.569993591E1
1.855277542E2,-3.005479431E1,-2.740155029E1,2.568312073E1
1.855377792E2,-2.955027771E1,-2.770449829E1,2.610296631E1
1.855478032E2,-2.891177368E1,-2.816836548E1,2.660165405E1
1.855578282E2,-2.861781311E1,-2.845111084E1,2.658761597E1
1.855678522E2,-2.824851990E1,-2.882467651E1,2.631759644E1
1.855778762E2,-2.803611755E1,-2.904748535E1,2.602830505E1
1.855879012E2,-2.793544006E1,-2.949026489E1,2.572036743E1
1.855979252E2,-2.774356079E1,-2.982382202E1,2.533456421E1
1.856079500E2,-2.778720093E1,-3.011407471E1,2.520637512E1
1.856179740E2,-2.771189880E1,-3.034555054E1,2.503605652E1
1.856279990E2,-2.741061401E1,-3.064099121E1,2.532919312E1
1.856380230E2,-2.737461853E1,-3.093246460E1,2.547677612E1
1.856480480E2,-2.755599976E1,-3.094818115E1,2.563534546E1
1.856580720E2,-2.775296021E1,-3.079190063E1,2.547468567E1
1.856680970E2,-2.790361023E1,-3.081716919E1,2.577482605E1
1.856781210E2,-2.831698608E1,-3.071987915E1,2.548867798E1
1.856881450E2,-2.874055481E1,-3.072485352E1,2.513616943E1
1.856981700E2,-2.926637268E1,-3.062847900E1,2.486674500E1
1.857081940E2,-2.952493286E1,-3.067520142E1,2.458393860E1
1.857182190E2,-2.943902588E1,-3.075628662E1,2.404339600E1
1.857282430E2,-2.913650513E1,-3.091635132E1,2.424821472E1
1.857382680E2,-2.870697021E1,-3.087829590E1,2.409136963E1
1.857482920E2,-2.817214966E1,-3.089175415E1,2.435388184E1
1.857583170E2,-2.748056030E1,-3.077304077E1,2.442184448E1
1.857683410E2,-2.682330322E1,-3.110488892E1,2.470509338E1
1.857783650E2,-2.619070435E1,-3.143356323E1,2.429896545E1
1.857883900E2,-2.552888489E1,-3.210961914E1,2.445252991E1
1.857984140E2,-2.505033875E1,-3.254916382E1,2.395980835E1
1.858084390E2,-2.441627502E1,-3.316073608E1,2.373625183E1
1.858184630E2,-2.396879578E1,-3.374044800E1,2.357870483E1
1.858284880E2,-2.343621826E1,-3.431005859E1,2.369586182E1
1.858385120E2,-2.301039124E1,-3.483450317E1,2.325262451E1
1.858485370E2,-2.232548523E1,-3.519308472E1,2.328981018E1
1.858585610E2,-2.176628113E1,-3.550241089E1,2.325875854E1
1.858685850E2,-2.121495056E1,-3.597158813E1,2.331126404E1
1.858786100E2,-2.098226929E1,-3.611135864E1,2.310737610E1
1.858886340E2,-2.072001648E1,-3.627056885E1,2.284735107E1
1.858986590E2,-2.082267761E1,-3.652035522E1,2.259944153E1
1.859086830E2,-2.086575317E1,-3.667019653E1,2.242156982E1
1.859187080E2,-2.142236328E1,-3.657330322E1,2.180702209E1
1.859287320E2,-2.207115173E1,-3.654064941E1,2.131799316E1
1.859387570E2,-2.256417847E1,-3.610055542E1,2.158566284E1
1.859487810E2,-2.334855652E1,-3.573016357E1,2.111166382E1
1.859588050E2,-2.413162231E1,-3.540606689E1,2.120347595E1
1.859688300E2,-2.502067566E1,-3.510900879E1,2.080171204E1
1.859788540E2,-2.572595215E1,-3.460214233E1,2.050927734E1
1.859888790E2,-2.660504150E1,-3.397308350E1,1.989578247E1
1.859989030E2,-2.733215332E1,-3.316931152E1,2.021380615E1
1.860089280E2,-2.794058228E1,-3.251092529E1,2.068692017E1
1.860189520E2,-2.812625122E1,-3.171249390E1,2.177003479E1
1.860289770E2,-2.789068604E1,-3.071777344E1,2.258331299E1
1.860390010E2,-2.745083618E1,-3.010797119E1,2.361494446E1
1.860490250E2,-2.707859802E1,-2.982843018E1,2.424440002E1
1.860590500E2,-2.672689819E1,-2.955258179E1,2.496362305E1
1.860690740E2,-2.664181519E1,-2.960458374E1,2.512438965E1
1.860790990E2,-2.662490845E1,-2.944824219E1,2.525691223E1
1.860891230E2,-2.681115723E1,-2.952545166E1,2.502029419E1
1.860991480E2,-2.696830750E1,-2.948068237E1,2.528256226E1
1.861091720E2,-2.726828003E1,-2.942559814E1,2.513694763E1
1.861191970E2,-2.740364075E1,-2.925778198E1,2.526867676E1
1.861292210E2,-2.748011780E1,-2.935900879E1,2.518363953E1
1.861392450E2,-2.764533997E1,-2.919314575E1,2.531098938E1
1.861492700E2,-2.800634766E1,-2.934863281E1,2.522494507E1
1.861592940E2,-2.828880310E1,-2.937966919E1,2.536338806E1
1.861693190E2,-2.858116150E1,-2.958190918E1,2.498036194E1
1.861793430E2,-2.855630493E1,-2.960189819E1,2.481440735E1
