"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.811087708E0,1.278940430E1,-5.307962036E-1,9.995464325E0
1.821112708E0,1.226220062E1,-6.897656250E-1,1.071007828E1
1.831137708E0,1.192435318E1,-8.430468750E-1,1.123309067E1
1.841162708E0,1.151854706E1,-9.139993286E-1,1.137634277E1
1.851187708E0,1.074031540E1,-8.455915833E-1,1.140672958E1
1.861212708E0,9.835147705E0,-5.481600952E-1,1.140807678E1
1.871238708E0,9.146579590E0,-1.448986816E-1,1.104657852E1
1.881263708E0,8.600365448E0,7.634124756E-2,1.045440994E1
1.891288708E0,7.978708191E0,-2.829116821E-2,9.930649109E0
1.901313708E0,7.552993469E0,-2.255809021E-1,9.711355133E0
1.911338708E0,7.223528595E0,-3.379971313E-1,9.631571045E0
1.921363708E0,7.070995789E0,-6.673123169E-1,9.952803040E0
1.931388708E0,6.708449707E0,-1.222507782E0,1.000294876E1
1.941413708E0,6.119424591E0,-1.693129120E0,9.836794281E0
1.951438708E0,5.683081970E0,-1.685345306E0,9.915979614E0
1.961463708E0,5.565426636E0,-1.174607391E0,1.000519409E1
1.971489708E0,5.527106323E0,-5.158273315E-1,1.016311569E1
1.981514708E0,5.619015198E0,-1.811233521E-2,9.956096191E0
1.991539708E0,5.581742706E0,7.798782349E-2,9.330397339E0
2.001564708E0,5.198838959E0,1.347198486E-3,8.719667358E0
2.011589709E0,4.857997742E0,-3.802093506E-2,8.274044037E0
2.021614708E0,4.469256134E0,-8.232879639E-3,7.746990051E0
2.031639708E0,3.803590393E0,6.930587769E-2,7.206015015E0
2.041664708E0,3.149300995E0,-7.604187012E-2,6.595584412E0
2.051689708E0,2.367626495E0,-3.263214111E-1,6.002218323E0
2.061715708E0,1.566342773E0,-3.613485718E-1,5.455255737E0
2.071740708E0,1.257085876E0,-2.315684509E-1,4.828059998E0
2.081765709E0,1.236877899E0,4.730163574E-2,4.322860565E0
2.091790708E0,1.171613617E0,1.004411316E-1,3.997586975E0
2.101815708E0,1.044527893E0,2.363584900E-1,3.934418335E0
2.111840708E0,9.122030640E-1,2.962339783E-1,3.741768951E0
2.121865708E0,2.815644836E-1,8.382568359E-2,3.160527649E0
2.131890708E0,-1.015787659E0,-2.327659607E-1,1.782193909E0
2.141915708E0,-1.656754761E0,-3.338058472E-1,8.083190918E-2
2.151940709E0,-1.254690857E0,-3.019221497E-1,-9.871971130E-1
2.161966708E0,-4.619393921E-1,2.739303589E-2,-1.361568604E0
2.171991708E0,5.945635986E-1,7.514373779E-2,-1.432221680E0
2.182016708E0,2.022294617E0,-1.562750244E-1,-5.872288513E-1
2.192041708E0,3.674708405E0,-4.879852295E-2,6.424639893E-1
2.202066708E0,5.300477600E0,3.137475586E-1,1.194216614E0
2.212091708E0,6.431675262E0,5.872288513E-1,1.019080811E0
2.222116708E0,6.744674377E0,2.619552612E-1,5.188211060E-1
2.232141708E0,7.401508484E0,-6.282435608E-1,1.657054138E-1
2.242166708E0,7.884553986E0,-1.726958771E0,3.363505554E-1
2.252191708E0,8.169860687E0,-2.779719543E0,1.457818451E0
2.262217708E0,9.020092621E0,-2.990780640E0,2.685415649E0
2.272242708E0,1.021221359E1,-2.551144867E0,3.367996216E0
2.282267708E0,1.221295303E1,-1.786385193E0,3.188818817E0
2.292292708E0,1.413256119E1,-9.945318604E-1,2.748733978E0
2.302317708E0,1.546000076E1,5.987548828E-4,2.510878601E0
2.312342708E0,1.680869614E1,4.587959290E-1,1.880988464E0
2.322367708E0,1.623404114E1,7.291337585E-1,1.479972382E0
2.332392708E0,1.432281555E1,2.686912537E-1,1.525777130E0
2.342417708E0,1.181687668E1,-1.060544586E0,1.357976074E0
2.352442708E0,8.781039734E0,-2.187251587E0,1.425485687E0
2.362468708E0,7.546257477E0,-2.349813538E0,3.397634583E0
2.372493709E0,7.638166351E0,-2.230062561E0,4.958588562E0
2.382518708E0,7.287146301E0,-2.493963776E0,5.056335297E0
2.392543708E0,8.232131195E0,-1.990560608E0,5.685027924E0
2.402568708E0,1.061337936E1,-2.351160736E0,6.626420288E0
2.412593708E0,1.264300873E1,-1.412313080E0,8.759484558E0
2.422618708E0,1.219049973E1,-6.839277649E-1,7.723339233E0
2.432643708E0,1.168544998E1,-1.826651459E0,7.034771118E0
2.442668709E0,9.462123413E0,-2.358944550E0,7.799530792E0
2.452693708E0,6.744075623E0,-2.887794800E0,6.338119812E0
2.462719708E0,5.894891510E0,-2.603835297E0,5.412295074E0
