"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.220672922E2,5.058473678E1,8.700333298E0,1.782308721E2,3.254274370E0,2.537166386E2,5.182951025E0,4.089512902E0
1.230672754E2,5.058471790E1,8.700293285E0,1.782594940E2,3.234695712E0,2.440998251E2,5.140421867E0,4.270510134E0
1.240672581E2,5.058470412E1,8.700262965E0,1.781981570E2,2.913473696E0,2.399164530E2,5.184038655E0,4.409284641E0
1.250672400E2,5.058468342E1,8.700223630E0,1.781803934E2,3.118117460E0,2.365742301E2,5.294020422E0,4.555651365E0
1.260672235E2,5.058466326E1,8.700183785E0,1.779549230E2,3.174316259E0,2.329636101E2,5.243345358E0,4.460958510E0
1.270672059E2,5.058464203E1,8.700152392E0,1.774423830E2,3.049116788E0,2.286519558E2,5.182050596E0,4.465940453E0
1.280671880E2,5.058461646E1,8.700115848E0,1.775826818E2,3.210716261E0,2.266845859E2,5.152856933E0,4.613680333E0
1.290671712E2,5.058459928E1,8.700089135E0,1.781294312E2,3.013057958E0,2.270180003E2,5.014307845E0,4.507718347E0
1.300671535E2,5.058457604E1,8.700054621E0,1.777427882E2,3.161396180E0,2.263466821E2,5.014168233E0,4.640905193E0
1.310671357E2,5.058455295E1,8.700020127E0,1.776901841E2,3.196996826E0,2.249382415E2,5.028819608E0,4.672948080E0
1.320671185E2,5.058453086E1,8.699986626E0,1.773461230E2,3.298951794E0,2.260010932E2,4.998314579E0,4.774655218E0
1.330671014E2,5.058450735E1,8.699953942E0,1.772353811E2,3.309420850E0,2.246525928E2,4.995615819E0,4.685013072E0
1.340670835E2,5.058448914E1,8.699922443E0,1.769796538E2,3.072359262E0,2.276376119E2,4.918168274E0,4.552324018E0
1.350670661E2,5.058446578E1,8.699882998E0,1.769783672E2,3.319516881E0,2.292758131E2,4.851331243E0,4.468375012E0
1.360670490E2,5.058444396E1,8.699850955E0,1.770003019E2,3.361089188E0,2.272799314E2,4.857737357E0,4.471058165E0
1.370670313E2,5.058442765E1,8.699818806E0,1.770743164E2,3.201431153E0,2.304052859E2,4.831906559E0,4.457236908E0
1.380670139E2,5.058440295E1,8.699786205E0,1.773733933E2,3.344162129E0,2.271102686E2,4.848260833E0,4.444284703E0
1.390669967E2,5.058438053E1,8.699749543E0,1.773021292E2,3.495846155E0,2.275034226E2,4.915084516E0,4.622173005E0
1.400669793E2,5.058435538E1,8.699718017E0,1.773432023E2,3.581465362E0,2.242207705E2,4.969184266E0,4.693491561E0
1.410669618E2,5.058433980E1,8.699698440E0,1.765424657E2,3.079290462E0,2.214294709E2,4.871442173E0,4.682558984E0
1.420669439E2,5.058431701E1,8.699660885E0,1.771626717E2,3.117228799E0,2.253158409E2,4.818137461E0,4.633711411E0
1.430669267E2,5.058429379E1,8.699619819E0,1.764660809E2,3.281004703E0,2.275608665E2,4.825019558E0,4.593910020E0
1.440669092E2,5.058426778E1,8.699586975E0,1.764767760E2,3.364897854E0,2.247523377E2,4.967865511E0,4.717162804E0
